id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,clockSec
4018104764,4,"{'id': '615', 'text': 'Jumpball'}",Jay Huff vs. Neemias Queta (Sam Hauser gains possession),0,0,1,12:00,False,0,{'id': '2'},"[{'athlete': {'id': '4397424'}}, {'athlete': {'id': '4065731'}}, {'athlete': {'id': '4065804'}}]",2026-01-22T00:41:02Z,False,"{'x': -214748340, 'y': -214748365}",0,Jump Ball,720.0
4018104767,7,"{'id': '92', 'text': 'Jump Shot'}",Sam Hauser makes 24-foot three point jumper (Derrick White assists),0,3,1,11:44,True,3,{'id': '2'},"[{'athlete': {'id': '4065804'}}, {'athlete': {'id': '3078576'}}]",2026-01-22T00:41:15Z,True,"{'x': 8, 'y': 18}",3,+3 Points,704.0
4018104769,9,"{'id': '132', 'text': 'Step Back Jump Shot'}",Andrew Nembhard misses 25-foot three point step back jumpshot,0,3,1,11:21,False,0,{'id': '11'},[{'athlete': {'id': '4395712'}}],2026-01-22T00:41:38Z,True,"{'x': 39, 'y': 21}",3,Missed 3PT,681.0
40181047610,10,"{'id': '155', 'text': 'Defensive Rebound'}",Derrick White defensive rebound,0,3,1,11:19,False,0,{'id': '2'},[{'athlete': {'id': '3078576'}}],2026-01-22T00:41:40Z,False,"{'x': 39, 'y': 21}",0,Rebound,679.0
40181047611,11,"{'id': '62', 'text': 'Bad Pass\nTurnover'}","Jaylen Brown bad pass
turnover (Jay Huff steals)",0,3,1,11:11,False,0,{'id': '2'},"[{'athlete': {'id': '3917376'}}, {'athlete': {'id': '4065731'}}]",2026-01-22T00:41:49Z,False,"{'x': 26, 'y': 6}",0,Turnover,671.0
40181047613,13,"{'id': '113', 'text': 'Running Jump Shot'}",Jay Huff misses 26-foot running jump shot,0,3,1,11:05,False,0,{'id': '11'},[{'athlete': {'id': '4065731'}}],2026-01-22T00:41:54Z,True,"{'x': 35, 'y': 24}",3,Missed 3PT,665.0
40181047614,14,"{'id': '155', 'text': 'Defensive Rebound'}",Sam Hauser defensive rebound,0,3,1,11:02,False,0,{'id': '2'},[{'athlete': {'id': '4065804'}}],2026-01-22T00:41:57Z,False,"{'x': 35, 'y': 24}",0,Rebound,662.0
40181047615,15,"{'id': '92', 'text': 'Jump Shot'}",Sam Hauser makes 25-foot three point jumper (Payton Pritchard assists),0,6,1,10:52,True,3,{'id': '2'},"[{'athlete': {'id': '4065804'}}, {'athlete': {'id': '4066354'}}]",2026-01-22T00:42:07Z,True,"{'x': 39, 'y': 22}",3,+3 Points,652.0
40181047617,17,"{'id': '92', 'text': 'Jump Shot'}",Johnny Furphy makes 24-foot three point jumper (Pascal Siakam assists),3,6,1,10:31,True,3,{'id': '11'},"[{'athlete': {'id': '5157066'}}, {'athlete': {'id': '3149673'}}]",2026-01-22T00:42:28Z,True,"{'x': 7, 'y': 17}",3,+3 Points,631.0
40181047619,19,"{'id': '130', 'text': 'Floating Jump Shot'}",Neemias Queta misses 9-foot floating jump shot,3,6,1,10:21,False,0,{'id': '2'},[{'athlete': {'id': '4397424'}}],2026-01-22T00:42:39Z,True,"{'x': 27, 'y': 10}",2,Missed FG,621.0
