id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,clockSec
4018109324,4,"{'id': '615', 'text': 'Jumpball'}",Joel Embiid vs. Moussa Diabate (LaMelo Ball gains possession),0,0,1,12:00,False,0,{'id': '30'},"[{'athlete': {'id': '4433249'}}, {'athlete': {'id': '3059318'}}, {'athlete': {'id': '4432816'}}]",2026-03-28T22:10:43Z,False,"{'x': -214748340, 'y': -214748365}",0,Jump Ball,720.0
4018109327,7,"{'id': '92', 'text': 'Jump Shot'}",Brandon Miller misses 27-foot three point jumper,0,0,1,11:34,False,0,{'id': '30'},[{'athlete': {'id': '4433287'}}],2026-03-28T22:11:04Z,True,"{'x': 44, 'y': 19}",3,Missed 3PT,694.0
4018109328,8,"{'id': '156', 'text': 'Offensive Rebound'}",Moussa Diabate offensive rebound,0,0,1,11:30,False,0,{'id': '30'},[{'athlete': {'id': '4433249'}}],2026-03-28T22:11:08Z,False,"{'x': 44, 'y': 19}",0,Rebound,690.0
4018109329,9,"{'id': '125', 'text': 'Layup Shot Putback'}",Moussa Diabate makes two point shot,0,2,1,11:29,True,2,{'id': '30'},[{'athlete': {'id': '4433249'}}],2026-03-28T22:11:09Z,True,"{'x': 23, 'y': 3}",2,+2 Points,689.0
40181093210,10,"{'id': '131', 'text': 'Pullup Jump Shot'}",VJ Edgecombe misses 14-foot pullup jump shot,0,2,1,11:15,False,0,{'id': '20'},[{'athlete': {'id': '5124612'}}],2026-03-28T22:11:22Z,True,"{'x': 20, 'y': 14}",2,Missed FG,675.0
40181093211,11,"{'id': '155', 'text': 'Defensive Rebound'}",Kon Knueppel defensive rebound,0,2,1,11:12,False,0,{'id': '30'},[{'athlete': {'id': '5061575'}}],2026-03-28T22:11:25Z,False,"{'x': 20, 'y': 14}",0,Rebound,672.0
40181093212,12,"{'id': '92', 'text': 'Jump Shot'}",LaMelo Ball makes 26-foot three point jumper (Moussa Diabate assists),0,5,1,11:07,True,3,{'id': '30'},"[{'athlete': {'id': '4432816'}}, {'athlete': {'id': '4433249'}}]",2026-03-28T22:11:31Z,True,"{'x': 47, 'y': 15}",3,+3 Points,667.0
40181093214,14,"{'id': '131', 'text': 'Pullup Jump Shot'}",Joel Embiid misses 14-foot pullup jump shot,0,5,1,10:53,False,0,{'id': '20'},[{'athlete': {'id': '3059318'}}],2026-03-28T22:11:46Z,True,"{'x': 26, 'y': 15}",2,Missed FG,653.0
40181093215,15,"{'id': '155', 'text': 'Defensive Rebound'}",Miles Bridges defensive rebound,0,5,1,10:51,False,0,{'id': '30'},[{'athlete': {'id': '4066383'}}],2026-03-28T22:11:48Z,False,"{'x': 26, 'y': 15}",0,Rebound,651.0
40181093216,16,"{'id': '63', 'text': 'Lost Ball Turnover'}",Kon Knueppel lost ball turnover (Paul George steals),0,5,1,10:40,False,0,{'id': '30'},"[{'athlete': {'id': '5061575'}}, {'athlete': {'id': '4251'}}]",2026-03-28T22:11:58Z,False,"{'x': 44, 'y': 19}",0,Turnover,640.0
