id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,clockSec
4018105904,4,"{'id': '615', 'text': 'Jumpball'}",Lauri Markkanen vs. Jock Landale (Jalen Johnson gains possession),0,0,1,12:00,False,0,{'id': '1'},"[{'athlete': {'id': '3146557'}}, {'athlete': {'id': '4066336'}}, {'athlete': {'id': '4701230'}}]",2026-02-06T00:40:20Z,False,"{'x': -214748340, 'y': -214748365}",0,Jump Ball,720.0
4018105907,7,"{'id': '92', 'text': 'Jump Shot'}",Zaccharie Risacher misses 24-foot three point jumper,0,0,1,11:42,False,0,{'id': '1'},[{'athlete': {'id': '5211175'}}],2026-02-06T00:40:32Z,True,"{'x': 10, 'y': 20}",3,Missed 3PT,702.0
4018105908,8,"{'id': '156', 'text': 'Offensive Rebound'}",Jock Landale offensive rebound,0,0,1,11:40,False,0,{'id': '1'},[{'athlete': {'id': '3146557'}}],2026-02-06T00:40:34Z,False,"{'x': 10, 'y': 20}",0,Rebound,700.0
40181059010,10,"{'id': '16', 'text': 'Full Timeout'}",Jazz Full timeout,0,0,1,11:40,False,0,{'id': '26'},,2026-02-06T00:41:07Z,False,"{'x': -214748340, 'y': -214748365}",0,Timeout,700.0
40181059011,11,"{'id': '215', 'text': ""Coach's Challenge (Overturned)""}",(11:40) [Jazz] COACH'S CHALLENGE (CALL OVERTURNED) [Jazz] retain their timeout,0,0,1,11:40,False,0,{'id': '26'},,2026-02-06T00:41:32Z,False,"{'x': -214748340, 'y': -214748365}",0,Challenge,700.0
40181059012,12,"{'id': '87', 'text': 'Out of Bounds - Lost Ball Turnover'}",Jock Landale out of bounds lost ball turnover,0,0,1,11:40,False,0,{'id': '1'},[{'athlete': {'id': '3146557'}}],2026-02-06T00:43:13Z,False,"{'x': 28, 'y': 1}",0,Turnover,700.0
40181059013,13,"{'id': '92', 'text': 'Jump Shot'}",Kyle Filipowski misses 24-foot three point jumper,0,0,1,11:29,False,0,{'id': '26'},[{'athlete': {'id': '4684793'}}],2026-02-06T00:44:08Z,True,"{'x': 49, 'y': 6}",3,Missed 3PT,689.0
40181059014,14,"{'id': '155', 'text': 'Defensive Rebound'}",Zaccharie Risacher defensive rebound,0,0,1,11:25,False,0,{'id': '1'},[{'athlete': {'id': '5211175'}}],2026-02-06T00:44:12Z,False,"{'x': 49, 'y': 6}",0,Rebound,685.0
40181059015,15,"{'id': '144', 'text': 'Driving Floating Jump Shot'}",Dyson Daniels misses driving floating jump shot,0,0,1,11:09,False,0,{'id': '1'},[{'athlete': {'id': '4869342'}}],2026-02-06T00:44:27Z,True,"{'x': 26, 'y': 5}",2,Missed FG,669.0
40181059016,16,"{'id': '156', 'text': 'Offensive Rebound'}",Jock Landale offensive rebound,0,0,1,11:07,False,0,{'id': '1'},[{'athlete': {'id': '3146557'}}],2026-02-06T00:44:30Z,False,"{'x': 26, 'y': 5}",0,Rebound,667.0
40181059017,17,"{'id': '144', 'text': 'Driving Floating Jump Shot'}",Jalen Johnson misses driving floating jump shot,0,0,1,11:04,False,0,{'id': '1'},[{'athlete': {'id': '4701230'}}],2026-02-06T00:44:33Z,True,"{'x': 26, 'y': 15}",2,Missed FG,664.0
40181059018,18,"{'id': '156', 'text': 'Offensive Rebound'}",Zaccharie Risacher offensive rebound,0,0,1,11:02,False,0,{'id': '1'},[{'athlete': {'id': '5211175'}}],2026-02-06T00:44:35Z,False,"{'x': 26, 'y': 15}",0,Rebound,662.0
40181059019,19,"{'id': '94', 'text': 'Tip Shot'}",Zaccharie Risacher misses tip shot,0,0,1,11:02,False,0,{'id': '1'},[{'athlete': {'id': '5211175'}}],2026-02-06T00:44:37Z,True,"{'x': 25, 'y': 0}",2,Missed FG,662.0
40181059020,20,"{'id': '156', 'text': 'Offensive Rebound'}",Jock Landale offensive rebound,0,0,1,11:01,False,0,{'id': '1'},[{'athlete': {'id': '3146557'}}],2026-02-06T00:44:38Z,False,"{'x': 25, 'y': 0}",0,Rebound,661.0
