id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,clockSec
4018099864,4,"{'id': '615', 'text': 'Jumpball'}",Alperen Sengun vs. Collin Murray-Boyles (Jabari Smith Jr. gains possession),0,0,1,12:00,False,0,{'id': '10'},"[{'athlete': {'id': '4871144'}}, {'athlete': {'id': '5093267'}}, {'athlete': {'id': '4432639'}}]",2025-10-29T22:44:05Z,False,"{'x': -214748340, 'y': -214748365}",720.0
4018099867,7,"{'id': '92', 'text': 'Jump Shot'}",Kevin Durant misses 25-foot three point jumper,0,0,1,11:43,False,0,{'id': '10'},[{'athlete': {'id': '3202'}}],2025-10-29T22:44:19Z,True,"{'x': 6, 'y': 18}",703.0
4018099868,8,"{'id': '156', 'text': 'Offensive Rebound'}",Jabari Smith Jr. offensive rebound,0,0,1,11:40,False,0,{'id': '10'},[{'athlete': {'id': '4432639'}}],2025-10-29T22:44:22Z,False,"{'x': 6, 'y': 18}",700.0
4018099869,9,"{'id': '44', 'text': 'Shooting Foul'}",Brandon Ingram shooting foul,0,0,1,11:36,False,0,{'id': '28'},[{'athlete': {'id': '3913176'}}],2025-10-29T22:44:26Z,False,"{'x': 24, 'y': 26}",696.0
40180998611,11,"{'id': '100', 'text': 'Free Throw - 1 of 3'}",Jabari Smith Jr. misses free throw 1 of 3,0,0,1,11:36,False,0,{'id': '10'},[{'athlete': {'id': '4432639'}}],2025-10-29T22:45:06Z,True,"{'x': -214748340, 'y': -214748365}",696.0
40180998612,12,"{'id': '156', 'text': 'Offensive Rebound'}",Rockets offensive team rebound,0,0,1,11:36,False,0,{'id': '10'},,2025-10-29T22:45:06Z,False,"{'x': -214748340, 'y': -214748365}",696.0
40180998613,13,"{'id': '101', 'text': 'Free Throw - 2 of 3'}",Jabari Smith Jr. makes free throw 2 of 3,1,0,1,11:36,True,1,{'id': '10'},[{'athlete': {'id': '4432639'}}],2025-10-29T22:45:23Z,True,"{'x': -214748340, 'y': -214748365}",696.0
40180998614,14,"{'id': '102', 'text': 'Free Throw - 3 of 3'}",Jabari Smith Jr. makes free throw 3 of 3,2,0,1,11:36,True,1,{'id': '10'},[{'athlete': {'id': '4432639'}}],2025-10-29T22:45:40Z,True,"{'x': -214748340, 'y': -214748365}",696.0
40180998615,15,"{'id': '12', 'text': 'Kicked Ball'}",Josh Okogie kicked ball violation,2,0,1,11:31,False,0,{'id': '10'},[{'athlete': {'id': '4065663'}}],2025-10-29T22:45:48Z,False,"{'x': -214748340, 'y': -214748365}",691.0
40180998616,16,"{'id': '136', 'text': 'Turnaround Bank Jump Shot'}",Scottie Barnes misses 7-foot two point shot,2,0,1,11:20,False,0,{'id': '28'},[{'athlete': {'id': '4433134'}}],2025-10-29T22:46:10Z,True,"{'x': 30, 'y': 6}",680.0
