id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,clockSec
4017698384,4,"{'id': '615', 'text': 'Jumpball'}",Draymond Green vs. Rudy Gobert (Julius Randle gains possession),0,0,1,12:00,False,0,{'id': '16'},"[{'athlete': {'id': '3032976'}}, {'athlete': {'id': '6589'}}, {'athlete': {'id': '3064514'}}]",2025-05-09T00:35:59Z,False,"{'x': -214748340, 'y': -214748365}",720.0
4017698388,8,"{'id': '92', 'text': 'Jump Shot'}",Jaden McDaniels makes 25-foot three point jumper (Julius Randle assists),0,3,1,11:33,True,3,{'id': '16'},"[{'athlete': {'id': '4431671'}}, {'athlete': {'id': '3064514'}}]",2025-05-09T00:36:34Z,True,"{'x': 48, 'y': 11}",693.0
40176983810,10,"{'id': '92', 'text': 'Jump Shot'}",Brandin Podziemski misses 27-foot three point jumper,0,3,1,11:17,False,0,{'id': '9'},[{'athlete': {'id': '4709138'}}],2025-05-09T00:36:50Z,True,"{'x': 37, 'y': 25}",677.0
40176983811,11,"{'id': '155', 'text': 'Defensive Rebound'}",Rudy Gobert defensive rebound,0,3,1,11:14,False,0,{'id': '16'},[{'athlete': {'id': '3032976'}}],2025-05-09T00:36:53Z,False,"{'x': 37, 'y': 25}",674.0
40176983812,12,"{'id': '92', 'text': 'Jump Shot'}",Mike Conley makes 25-foot three point jumper (Julius Randle assists),0,6,1,11:02,True,3,{'id': '16'},"[{'athlete': {'id': '3195'}}, {'athlete': {'id': '3064514'}}]",2025-05-09T00:37:07Z,True,"{'x': 36, 'y': 24}",662.0
40176983814,14,"{'id': '63', 'text': 'Lost Ball Turnover'}",Buddy Hield lost ball turnover (Jaden McDaniels steals),0,6,1,10:37,False,0,{'id': '9'},"[{'athlete': {'id': '2990984'}}, {'athlete': {'id': '4431671'}}]",2025-05-09T00:37:31Z,False,"{'x': 32, 'y': 5}",637.0
40176983816,16,"{'id': '149', 'text': 'Running Alley Oop Dunk Shot'}",Jaden McDaniels makes dunk (Anthony Edwards assists),0,8,1,10:32,True,2,{'id': '16'},"[{'athlete': {'id': '4431671'}}, {'athlete': {'id': '4594268'}}]",2025-05-09T00:37:36Z,True,"{'x': 25, 'y': 1}",632.0
40176983818,18,"{'id': '16', 'text': 'Full Timeout'}",Warriors Full timeout,0,8,1,10:31,False,0,{'id': '9'},,2025-05-09T00:37:40Z,False,"{'x': -214748340, 'y': -214748365}",631.0
40176983819,19,"{'id': '92', 'text': 'Jump Shot'}",Buddy Hield misses 23-foot three point jumper,0,8,1,10:15,False,0,{'id': '9'},[{'athlete': {'id': '2990984'}}],2025-05-09T00:41:42Z,True,"{'x': 2, 'y': 0}",615.0
40176983820,20,"{'id': '155', 'text': 'Defensive Rebound'}",Rudy Gobert defensive rebound,0,8,1,10:13,False,0,{'id': '16'},[{'athlete': {'id': '3032976'}}],2025-05-09T00:41:44Z,False,"{'x': 2, 'y': 0}",613.0
40176983821,21,"{'id': '137', 'text': 'Turnaround Fade Away Jump Shot'}",Julius Randle misses 8-foot two point shot,0,8,1,10:04,False,0,{'id': '16'},[{'athlete': {'id': '3064514'}}],2025-05-09T00:41:49Z,True,"{'x': 26, 'y': 8}",604.0
40176983822,22,"{'id': '156', 'text': 'Offensive Rebound'}",Timberwolves offensive team rebound,0,8,1,10:03,False,0,{'id': '16'},,2025-05-09T00:41:50Z,False,"{'x': 26, 'y': 8}",603.0
40176983824,24,"{'id': '24', 'text': 'Offensive Charge'}",Rudy Gobert offensive charge,0,8,1,9:56,False,0,{'id': '16'},[{'athlete': {'id': '3032976'}}],2025-05-09T00:42:18Z,False,"{'x': 23, 'y': 8}",596.0
40176983826,26,"{'id': '84', 'text': 'Offensive Foul Turnover'}",Rudy Gobert turnover,0,8,1,9:56,False,0,{'id': '16'},[{'athlete': {'id': '3032976'}}],2025-05-09T00:42:18Z,False,"{'x': 23, 'y': 8}",596.0
40176983827,27,"{'id': '137', 'text': 'Turnaround Fade Away Jump Shot'}",Jaden McDaniels blocks Jimmy Butler III 's 10-foot two point shot,0,8,1,9:41,False,0,{'id': '9'},"[{'athlete': {'id': '6430'}}, {'athlete': {'id': '4431671'}}]",2025-05-09T00:42:46Z,True,"{'x': 15, 'y': 4}",581.0
40176983829,29,"{'id': '155', 'text': 'Defensive Rebound'}",Anthony Edwards defensive rebound,0,8,1,9:38,False,0,{'id': '16'},[{'athlete': {'id': '4594268'}}],2025-05-09T00:42:49Z,False,"{'x': 15, 'y': 4}",578.0
40176983830,30,"{'id': '137', 'text': 'Turnaround Fade Away Jump Shot'}",Julius Randle makes 6-foot two point shot,0,10,1,9:20,True,2,{'id': '16'},[{'athlete': {'id': '3064514'}}],2025-05-09T00:43:08Z,True,"{'x': 24, 'y': 7}",560.0
40176983832,32,"{'id': '137', 'text': 'Turnaround Fade Away Jump Shot'}",Buddy Hield misses 11-foot two point shot,0,10,1,9:00,False,0,{'id': '9'},[{'athlete': {'id': '2990984'}}],2025-05-09T00:43:27Z,True,"{'x': 32, 'y': 9}",540.0
40176983833,33,"{'id': '155', 'text': 'Defensive Rebound'}",Rudy Gobert defensive rebound,0,10,1,8:57,False,0,{'id': '16'},[{'athlete': {'id': '3032976'}}],2025-05-09T00:43:30Z,False,"{'x': 32, 'y': 9}",537.0
40176983834,34,"{'id': '128', 'text': 'Driving Finger Roll Layup'}",Julius Randle makes 3-foot two point shot (Anthony Edwards assists),0,12,1,8:42,True,2,{'id': '16'},"[{'athlete': {'id': '3064514'}}, {'athlete': {'id': '4594268'}}]",2025-05-09T00:43:47Z,True,"{'x': 25, 'y': 4}",522.0
40176983836,36,"{'id': '44', 'text': 'Shooting Foul'}",Buddy Hield shooting foul,0,12,1,8:42,False,0,{'id': '9'},[{'athlete': {'id': '2990984'}}],2025-05-09T00:43:51Z,False,"{'x': 26, 'y': 3}",522.0
40176983838,38,"{'id': '584', 'text': 'Substitution'}",Gary Payton II enters the game for Buddy Hield,0,12,1,8:42,False,0,{'id': '9'},"[{'athlete': {'id': '3134903'}}, {'athlete': {'id': '2990984'}}]",2025-05-09T00:44:08Z,False,"{'x': -214748340, 'y': -214748365}",522.0
40176983839,39,"{'id': '584', 'text': 'Substitution'}",Moses Moody enters the game for Quinten Post,0,12,1,8:42,False,0,{'id': '9'},"[{'athlete': {'id': '4432171'}}, {'athlete': {'id': '4593016'}}]",2025-05-09T00:44:08Z,False,"{'x': -214748340, 'y': -214748365}",522.0
40176983842,42,"{'id': '97', 'text': 'Free Throw - 1 of 1'}",Julius Randle makes free throw 1 of 1,0,13,1,8:42,True,1,{'id': '16'},[{'athlete': {'id': '3064514'}}],2025-05-09T00:44:32Z,True,"{'x': -214748340, 'y': -214748365}",522.0
40176983843,43,"{'id': '45', 'text': 'Personal Foul'}",Julius Randle personal foul,0,13,1,8:38,False,0,{'id': '16'},[{'athlete': {'id': '3064514'}}],2025-05-09T00:44:39Z,False,"{'x': 26, 'y': 38}",518.0
40176983845,45,"{'id': '92', 'text': 'Jump Shot'}",Moses Moody misses 24-foot three point jumper,0,13,1,8:32,False,0,{'id': '9'},[{'athlete': {'id': '4432171'}}],2025-05-09T00:44:59Z,True,"{'x': 3, 'y': 11}",512.0
40176983846,46,"{'id': '155', 'text': 'Defensive Rebound'}",Rudy Gobert defensive rebound,0,13,1,8:28,False,0,{'id': '16'},[{'athlete': {'id': '3032976'}}],2025-05-09T00:45:03Z,False,"{'x': 3, 'y': 11}",508.0
40176983848,48,"{'id': '131', 'text': 'Pullup Jump Shot'}",Mike Conley misses 26-foot three point pullup jump shot,0,13,1,8:12,False,0,{'id': '16'},[{'athlete': {'id': '3195'}}],2025-05-09T00:45:34Z,True,"{'x': 16, 'y': 25}",492.0
40176983849,49,"{'id': '155', 'text': 'Defensive Rebound'}",Warriors defensive team rebound,0,13,1,8:10,False,0,{'id': '9'},,2025-05-09T00:45:36Z,False,"{'x': 16, 'y': 25}",490.0
40176983851,51,"{'id': '92', 'text': 'Jump Shot'}",Gary Payton II misses 23-foot three point jumper,0,13,1,7:51,False,0,{'id': '9'},[{'athlete': {'id': '3134903'}}],2025-05-09T00:45:58Z,True,"{'x': 48, 'y': 2}",471.0
40176983852,52,"{'id': '155', 'text': 'Defensive Rebound'}",Anthony Edwards defensive rebound,0,13,1,7:48,False,0,{'id': '16'},[{'athlete': {'id': '4594268'}}],2025-05-09T00:46:01Z,False,"{'x': 48, 'y': 2}",468.0
