id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,clockSec
4018100424,4,"{'id': '615', 'text': 'Jumpball'}",Donovan Clingan vs. Kel'el Ware (Andrew Wiggins gains possession),0,0,1,12:00,False,0,{'id': '14'},"[{'athlete': {'id': '5105623'}}, {'athlete': {'id': '5105565'}}, {'athlete': {'id': '3059319'}}]",2025-11-09T01:12:11Z,False,"{'x': -214748340, 'y': -214748365}",0,720.0
4018100427,7,"{'id': '131', 'text': 'Pullup Jump Shot'}",Andrew Wiggins misses 15-foot pullup jump shot,0,0,1,11:45,False,0,{'id': '14'},[{'athlete': {'id': '3059319'}}],2025-11-09T01:12:21Z,True,"{'x': 35, 'y': 12}",2,705.0
4018100428,8,"{'id': '155', 'text': 'Defensive Rebound'}",Shaedon Sharpe defensive rebound,0,0,1,11:42,False,0,{'id': '22'},[{'athlete': {'id': '4914336'}}],2025-11-09T01:12:24Z,False,"{'x': 35, 'y': 12}",0,702.0
4018100429,9,"{'id': '62', 'text': 'Bad Pass\nTurnover'}",Shaedon Sharpe bad pass (Norman Powell steals),0,0,1,11:35,False,0,{'id': '22'},"[{'athlete': {'id': '4914336'}}, {'athlete': {'id': '2595516'}}]",2025-11-09T01:12:32Z,False,"{'x': 16, 'y': 7}",0,695.0
40181004211,11,"{'id': '118', 'text': 'Alley Oop Dunk Shot'}",Andrew Wiggins misses alley oop dunk shot,0,0,1,11:29,False,0,{'id': '14'},[{'athlete': {'id': '3059319'}}],2025-11-09T01:12:37Z,True,"{'x': 28, 'y': -1}",2,689.0
40181004212,12,"{'id': '155', 'text': 'Defensive Rebound'}",Deni Avdija defensive rebound,0,0,1,11:27,False,0,{'id': '22'},[{'athlete': {'id': '4683021'}}],2025-11-09T01:12:40Z,False,"{'x': 28, 'y': -1}",0,687.0
40181004213,13,"{'id': '146', 'text': 'Running Pullup Jump Shot'}",Toumani Camara misses running pullup jump shot,0,0,1,11:23,False,0,{'id': '22'},[{'athlete': {'id': '4431736'}}],2025-11-09T01:12:44Z,True,"{'x': 47, 'y': 8}",3,683.0
40181004214,14,"{'id': '155', 'text': 'Defensive Rebound'}",Davion Mitchell defensive rebound,0,0,1,11:20,False,0,{'id': '14'},[{'athlete': {'id': '4278053'}}],2025-11-09T01:12:47Z,False,"{'x': 47, 'y': 8}",0,680.0
40181004215,15,"{'id': '109', 'text': 'Running Layup Shot'}",Davion Mitchell misses two point shot,0,0,1,11:15,False,0,{'id': '14'},[{'athlete': {'id': '4278053'}}],2025-11-09T01:12:51Z,True,"{'x': 24, 'y': 2}",2,675.0
40181004216,16,"{'id': '155', 'text': 'Defensive Rebound'}",Deni Avdija defensive rebound,0,0,1,11:12,False,0,{'id': '22'},[{'athlete': {'id': '4683021'}}],2025-11-09T01:12:54Z,False,"{'x': 24, 'y': 2}",0,672.0
40181004217,17,"{'id': '144', 'text': 'Driving Floating Jump Shot'}",Deni Avdija makes 4-foot driving floating jump shot,2,0,1,11:08,True,2,{'id': '22'},[{'athlete': {'id': '4683021'}}],2025-11-09T01:12:58Z,True,"{'x': 25, 'y': 4}",2,668.0
40181004218,18,"{'id': '131', 'text': 'Pullup Jump Shot'}",Norman Powell misses 25-foot three point pullup jump shot,2,0,1,11:05,False,0,{'id': '14'},[{'athlete': {'id': '2595516'}}],2025-11-09T01:13:06Z,True,"{'x': 10, 'y': 20}",3,665.0
40181004219,19,"{'id': '156', 'text': 'Offensive Rebound'}",Kel'el Ware offensive rebound,2,0,1,11:03,False,0,{'id': '14'},[{'athlete': {'id': '5105623'}}],2025-11-09T01:13:08Z,False,"{'x': 10, 'y': 20}",0,663.0
40181004220,20,"{'id': '130', 'text': 'Floating Jump Shot'}",Kel'el Ware misses 5-foot two point shot,2,0,1,10:59,False,0,{'id': '14'},[{'athlete': {'id': '5105623'}}],2025-11-09T01:13:12Z,True,"{'x': 30, 'y': 2}",2,659.0
40181004221,21,"{'id': '156', 'text': 'Offensive Rebound'}",Kel'el Ware offensive rebound,2,0,1,10:58,False,0,{'id': '14'},[{'athlete': {'id': '5105623'}}],2025-11-09T01:13:13Z,False,"{'x': 30, 'y': 2}",0,658.0
40181004222,22,"{'id': '92', 'text': 'Jump Shot'}",Davion Mitchell makes 24-foot three point jumper (Norman Powell assists),2,3,1,10:46,True,3,{'id': '14'},"[{'athlete': {'id': '4278053'}}, {'athlete': {'id': '2595516'}}]",2025-11-09T01:13:21Z,True,"{'x': 8, 'y': 18}",3,646.0
40181004223,23,"{'id': '110', 'text': 'Driving Layup Shot'}",Deni Avdija makes driving layup,4,3,1,10:30,True,2,{'id': '22'},[{'athlete': {'id': '4683021'}}],2025-11-09T01:13:37Z,True,"{'x': 27, 'y': 1}",2,630.0
40181004224,24,"{'id': '133', 'text': 'Pullup Bank Jump Shot'}",Norman Powell misses 5-foot two point shot,4,3,1,10:18,False,0,{'id': '14'},[{'athlete': {'id': '2595516'}}],2025-11-09T01:13:49Z,True,"{'x': 21, 'y': 4}",2,618.0
40181004225,25,"{'id': '155', 'text': 'Defensive Rebound'}",Donovan Clingan defensive rebound,4,3,1,10:15,False,0,{'id': '22'},[{'athlete': {'id': '5105565'}}],2025-11-09T01:13:52Z,False,"{'x': 21, 'y': 4}",0,615.0
40181004226,26,"{'id': '62', 'text': 'Bad Pass\nTurnover'}",Shaedon Sharpe bad pass (Davion Mitchell steals),4,3,1,10:12,False,0,{'id': '22'},"[{'athlete': {'id': '4914336'}}, {'athlete': {'id': '4278053'}}]",2025-11-09T01:13:55Z,False,"{'x': 5, 'y': 11}",0,612.0
40181004228,28,"{'id': '92', 'text': 'Jump Shot'}",Pelle Larsson misses 24-foot three point jumper,4,3,1,10:02,False,0,{'id': '14'},[{'athlete': {'id': '4601025'}}],2025-11-09T01:14:06Z,True,"{'x': 3, 'y': 11}",3,602.0
40181004229,29,"{'id': '156', 'text': 'Offensive Rebound'}",Heat offensive team rebound,4,3,1,10:02,False,0,{'id': '14'},,2025-11-09T01:14:06Z,False,"{'x': 3, 'y': 11}",0,602.0
40181004230,30,"{'id': '43', 'text': 'Loose Ball Foul'}",Donovan Clingan loose ball foul,4,3,1,10:02,False,0,{'id': '22'},[{'athlete': {'id': '5105565'}}],2025-11-09T01:14:12Z,False,"{'x': 24, 'y': 1}",0,602.0
40181004232,32,"{'id': '130', 'text': 'Floating Jump Shot'}",Norman Powell misses 8-foot two point shot,4,3,1,9:56,False,0,{'id': '14'},[{'athlete': {'id': '2595516'}}],2025-11-09T01:14:36Z,True,"{'x': 25, 'y': 9}",2,596.0
40181004233,33,"{'id': '156', 'text': 'Offensive Rebound'}",Kel'el Ware offensive rebound,4,3,1,9:54,False,0,{'id': '14'},[{'athlete': {'id': '5105623'}}],2025-11-09T01:14:39Z,False,"{'x': 25, 'y': 9}",0,594.0
40181004234,34,"{'id': '93', 'text': 'Hook Shot'}",Kel'el Ware misses 6-foot hook shot,4,3,1,9:50,False,0,{'id': '14'},[{'athlete': {'id': '5105623'}}],2025-11-09T01:14:42Z,True,"{'x': 19, 'y': 3}",2,590.0
40181004235,35,"{'id': '155', 'text': 'Defensive Rebound'}",Toumani Camara defensive rebound,4,3,1,9:47,False,0,{'id': '22'},[{'athlete': {'id': '4431736'}}],2025-11-09T01:14:45Z,False,"{'x': 19, 'y': 3}",0,587.0
40181004236,36,"{'id': '92', 'text': 'Jump Shot'}",Shaedon Sharpe makes 26-foot three point jumper (Deni Avdija assists),7,3,1,9:41,True,3,{'id': '22'},"[{'athlete': {'id': '4914336'}}, {'athlete': {'id': '4683021'}}]",2025-11-09T01:14:50Z,True,"{'x': 17, 'y': 26}",3,581.0
40181004238,38,"{'id': '92', 'text': 'Jump Shot'}",Pelle Larsson misses 26-foot three point jumper,7,3,1,9:21,False,0,{'id': '14'},[{'athlete': {'id': '4601025'}}],2025-11-09T01:15:11Z,True,"{'x': 3, 'y': 14}",3,561.0
40181004239,39,"{'id': '155', 'text': 'Defensive Rebound'}",Toumani Camara defensive rebound,7,3,1,9:16,False,0,{'id': '22'},[{'athlete': {'id': '4431736'}}],2025-11-09T01:15:16Z,False,"{'x': 3, 'y': 14}",0,556.0
40181004240,40,"{'id': '130', 'text': 'Floating Jump Shot'}",Jrue Holiday misses 4-foot two point shot,7,3,1,9:09,False,0,{'id': '22'},[{'athlete': {'id': '3995'}}],2025-11-09T01:15:24Z,True,"{'x': 24, 'y': 4}",2,549.0
40181004241,41,"{'id': '156', 'text': 'Offensive Rebound'}",Donovan Clingan offensive rebound,7,3,1,9:08,False,0,{'id': '22'},[{'athlete': {'id': '5105565'}}],2025-11-09T01:15:25Z,False,"{'x': 24, 'y': 4}",0,548.0
40181004242,42,"{'id': '92', 'text': 'Jump Shot'}",Shaedon Sharpe misses 25-foot three point jumper,7,3,1,9:07,False,0,{'id': '22'},[{'athlete': {'id': '4914336'}}],2025-11-09T01:15:33Z,True,"{'x': 47, 'y': 14}",3,547.0
40181004243,43,"{'id': '155', 'text': 'Defensive Rebound'}",Davion Mitchell defensive rebound,7,3,1,9:05,False,0,{'id': '14'},[{'athlete': {'id': '4278053'}}],2025-11-09T01:15:35Z,False,"{'x': 47, 'y': 14}",0,545.0
40181004244,44,"{'id': '110', 'text': 'Driving Layup Shot'}",Donovan Clingan blocks Norman Powell 's 3-foot driving layup,7,3,1,8:48,False,0,{'id': '14'},"[{'athlete': {'id': '2595516'}}, {'athlete': {'id': '5105565'}}]",2025-11-09T01:15:44Z,True,"{'x': 25, 'y': 3}",2,528.0
