id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,clockSec
4017056564,4,"{'id': '615', 'text': 'Jumpball'}",Domantas Sabonis vs. Thomas Bryant (Pascal Siakam gains possession),0,0,1,12:00,False,0,{'id': '11'},"[{'athlete': {'id': '3934723'}}, {'athlete': {'id': '3155942'}}, {'athlete': {'id': '3149673'}}]",2025-03-31T23:11:05Z,False,"{'x': -214748340, 'y': -214748365}",720.0
4017056567,7,"{'id': '92', 'text': 'Jump Shot'}",Aaron Nesmith misses 25-foot three point jumper,0,0,1,11:45,False,0,{'id': '11'},[{'athlete': {'id': '4396909'}}],2025-03-31T23:11:17Z,True,"{'x': 29, 'y': 26}",705.0
4017056568,8,"{'id': '155', 'text': 'Defensive Rebound'}",Keegan Murray defensive rebound,0,0,1,11:40,False,0,{'id': '23'},[{'athlete': {'id': '4594327'}}],2025-03-31T23:11:22Z,False,"{'x': 29, 'y': 26}",700.0
4017056569,9,"{'id': '92', 'text': 'Jump Shot'}",Zach LaVine misses 26-foot three point jumper,0,0,1,11:23,False,0,{'id': '23'},[{'athlete': {'id': '3064440'}}],2025-03-31T23:11:39Z,True,"{'x': 11, 'y': 23}",683.0
40170565610,10,"{'id': '155', 'text': 'Defensive Rebound'}",Pacers defensive team rebound,0,0,1,11:20,False,0,{'id': '11'},,2025-03-31T23:11:42Z,False,"{'x': 11, 'y': 23}",680.0
40170565612,12,"{'id': '92', 'text': 'Jump Shot'}",Thomas Bryant makes 22-foot three point jumper (Tyrese Haliburton assists),0,3,1,11:04,True,3,{'id': '11'},"[{'athlete': {'id': '3934723'}}, {'athlete': {'id': '4396993'}}]",2025-03-31T23:12:03Z,True,"{'x': 48, 'y': 2}",664.0
40170565614,14,"{'id': '92', 'text': 'Jump Shot'}",Keon Ellis misses 25-foot three point jumper,0,3,1,10:49,False,0,{'id': '23'},[{'athlete': {'id': '4702177'}}],2025-03-31T23:12:17Z,True,"{'x': 8, 'y': 18}",649.0
40170565615,15,"{'id': '155', 'text': 'Defensive Rebound'}",Andrew Nembhard defensive rebound,0,3,1,10:46,False,0,{'id': '11'},[{'athlete': {'id': '4395712'}}],2025-03-31T23:12:20Z,False,"{'x': 8, 'y': 18}",646.0
40170565616,16,"{'id': '92', 'text': 'Jump Shot'}",Andrew Nembhard makes 29-foot three point jumper (Tyrese Haliburton assists),0,6,1,10:28,True,3,{'id': '11'},"[{'athlete': {'id': '4395712'}}, {'athlete': {'id': '4396993'}}]",2025-03-31T23:12:39Z,True,"{'x': 37, 'y': 27}",628.0
40170565618,18,"{'id': '110', 'text': 'Driving Layup Shot'}",Domantas Sabonis makes driving layup,2,6,1,10:11,True,2,{'id': '23'},[{'athlete': {'id': '3155942'}}],2025-03-31T23:12:56Z,True,"{'x': 24, 'y': 2}",611.0
40170565619,19,"{'id': '128', 'text': 'Driving Finger Roll Layup'}",Andrew Nembhard misses two point shot,2,6,1,10:03,False,0,{'id': '11'},[{'athlete': {'id': '4395712'}}],2025-03-31T23:13:04Z,True,"{'x': 27, 'y': 2}",603.0
40170565620,20,"{'id': '155', 'text': 'Defensive Rebound'}",Domantas Sabonis defensive rebound,2,6,1,10:01,False,0,{'id': '23'},[{'athlete': {'id': '3155942'}}],2025-03-31T23:13:06Z,False,"{'x': 27, 'y': 2}",601.0
40170565621,21,"{'id': '92', 'text': 'Jump Shot'}",DeMar DeRozan misses 27-foot three point jumper,2,6,1,9:48,False,0,{'id': '23'},[{'athlete': {'id': '3978'}}],2025-03-31T23:13:19Z,True,"{'x': 14, 'y': 26}",588.0
40170565622,22,"{'id': '155', 'text': 'Defensive Rebound'}",Thomas Bryant defensive rebound,2,6,1,9:44,False,0,{'id': '11'},[{'athlete': {'id': '3934723'}}],2025-03-31T23:13:23Z,False,"{'x': 14, 'y': 26}",584.0
