id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,clockSec
4018106584,4,"{'id': '615', 'text': 'Jumpball'}",Jay Huff vs. Tristan Vukcevic (T.J. McConnell gains possession),0,0,1,12:00,False,0,{'id': '11'},"[{'athlete': {'id': '4065731'}}, {'athlete': {'id': '4997537'}}, {'athlete': {'id': '2530530'}}]",2026-02-21T00:11:44Z,False,"{'x': -214748340, 'y': -214748365}",0,Jump Ball,720.0
4018106587,7,"{'id': '92', 'text': 'Jump Shot'}",Kam Jones misses 25-foot three point jumper,0,0,1,11:40,False,0,{'id': '11'},[{'athlete': {'id': '4697268'}}],2026-02-21T00:11:59Z,True,"{'x': 49, 'y': 10}",3,Missed 3PT,700.0
4018106588,8,"{'id': '155', 'text': 'Defensive Rebound'}",Bub Carrington defensive rebound,0,0,1,11:37,False,0,{'id': '27'},[{'athlete': {'id': '4845374'}}],2026-02-21T00:12:02Z,False,"{'x': 49, 'y': 10}",0,Rebound,697.0
4018106589,9,"{'id': '63', 'text': 'Lost Ball Turnover'}",Bilal Coulibaly lost ball turnover (Ben Sheppard steals),0,0,1,11:21,False,0,{'id': '27'},"[{'athlete': {'id': '5104155'}}, {'athlete': {'id': '4433076'}}]",2026-02-21T00:12:18Z,False,"{'x': 12, 'y': 14}",0,Turnover,681.0
40181065811,11,"{'id': '113', 'text': 'Running Jump Shot'}",Jay Huff makes 25-foot running jump shot (T.J. McConnell assists),3,0,1,11:15,True,3,{'id': '11'},"[{'athlete': {'id': '4065731'}}, {'athlete': {'id': '2530530'}}]",2026-02-21T00:12:24Z,True,"{'x': 27, 'y': 26}",3,+3 Points,675.0
40181065813,13,"{'id': '119', 'text': 'Driving Hook Shot'}",Tristan Vukcevic makes 1-foot two point shot,3,2,1,10:53,True,2,{'id': '27'},[{'athlete': {'id': '4997537'}}],2026-02-21T00:12:45Z,True,"{'x': 24, 'y': 1}",2,+2 Points,653.0
40181065815,15,"{'id': '131', 'text': 'Pullup Jump Shot'}",T.J. McConnell makes 12-foot pullup jump shot,5,2,1,10:44,True,2,{'id': '11'},[{'athlete': {'id': '2530530'}}],2026-02-21T00:12:56Z,True,"{'x': 20, 'y': 11}",2,+2 Points,644.0
40181065816,16,"{'id': '110', 'text': 'Driving Layup Shot'}",Justin Champagnie misses driving layup,5,2,1,10:27,False,0,{'id': '27'},[{'athlete': {'id': '4432907'}}],2026-02-21T00:13:11Z,True,"{'x': 29, 'y': 1}",2,Missed FG,627.0
40181065817,17,"{'id': '155', 'text': 'Defensive Rebound'}",Jarace Walker defensive rebound,5,2,1,10:25,False,0,{'id': '11'},[{'athlete': {'id': '5106060'}}],2026-02-21T00:13:13Z,False,"{'x': 29, 'y': 1}",0,Rebound,625.0
40181065818,18,"{'id': '113', 'text': 'Running Jump Shot'}",Jay Huff misses 28-foot running jump shot,5,2,1,10:20,False,0,{'id': '11'},[{'athlete': {'id': '4065731'}}],2026-02-21T00:13:19Z,True,"{'x': 26, 'y': 28}",3,Missed 3PT,620.0
