id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,clockSec
4018109604,4,"{'id': '615', 'text': 'Jumpball'}",Adem Bona vs. Tristan Vukcevic (VJ Edgecombe gains possession),0,0,1,12:00,False,0,{'id': '20'},"[{'athlete': {'id': '5105637'}}, {'athlete': {'id': '4997537'}}, {'athlete': {'id': '5124612'}}]",2026-04-01T23:11:08Z,False,"{'x': -214748340, 'y': -214748365}",0,Jump Ball,720.0
4018109607,7,"{'id': '131', 'text': 'Pullup Jump Shot'}",Paul George makes 12-foot pullup jump shot (Tyrese Maxey assists),2,0,1,11:38,True,2,{'id': '20'},"[{'athlete': {'id': '4251'}}, {'athlete': {'id': '4431678'}}]",2026-04-01T23:11:26Z,True,"{'x': 19, 'y': 12}",2,+2 Points,698.0
4018109608,8,"{'id': '92', 'text': 'Jump Shot'}",Bub Carrington makes 16-foot jumper,2,2,1,11:21,True,2,{'id': '27'},[{'athlete': {'id': '4845374'}}],2026-04-01T23:11:42Z,True,"{'x': 14, 'y': 13}",2,+2 Points,681.0
40181096010,10,"{'id': '62', 'text': 'Bad Pass\nTurnover'}","Tyrese Maxey bad pass
turnover (Tristan Vukcevic steals)",2,2,1,10:58,False,0,{'id': '20'},"[{'athlete': {'id': '4431678'}}, {'athlete': {'id': '4997537'}}]",2026-04-01T23:12:06Z,False,"{'x': 32, 'y': 6}",0,Turnover,658.0
40181096012,12,"{'id': '132', 'text': 'Step Back Jump Shot'}",Adem Bona blocks Bilal Coulibaly's step back jumpshot,2,2,1,10:44,False,0,{'id': '27'},"[{'athlete': {'id': '5104155'}}, {'athlete': {'id': '5105637'}}]",2026-04-01T23:12:20Z,True,"{'x': 4, 'y': 0}",2,Missed FG,644.0
40181096013,13,"{'id': '155', 'text': 'Defensive Rebound'}",VJ Edgecombe defensive rebound,2,2,1,10:42,False,0,{'id': '20'},[{'athlete': {'id': '5124612'}}],2026-04-01T23:12:22Z,False,"{'x': 4, 'y': 0}",0,Rebound,642.0
40181096014,14,"{'id': '146', 'text': 'Running Pullup Jump Shot'}",Tyrese Maxey misses running pullup jump shot,2,2,1,10:38,False,0,{'id': '20'},[{'athlete': {'id': '4431678'}}],2026-04-01T23:12:26Z,True,"{'x': 12, 'y': 22}",3,Missed 3PT,638.0
40181096015,15,"{'id': '156', 'text': 'Offensive Rebound'}",76ers offensive team rebound,2,2,1,10:36,False,0,{'id': '20'},,2026-04-01T23:12:30Z,False,"{'x': 12, 'y': 22}",0,Rebound,636.0
40181096017,17,"{'id': '131', 'text': 'Pullup Jump Shot'}",Paul George makes 15-foot pullup jump shot (VJ Edgecombe assists),4,2,1,10:28,True,2,{'id': '20'},"[{'athlete': {'id': '4251'}}, {'athlete': {'id': '5124612'}}]",2026-04-01T23:12:57Z,True,"{'x': 20, 'y': 15}",2,+2 Points,628.0
40181096019,19,"{'id': '151', 'text': 'Cutting Dunk Shot'}",Bilal Coulibaly makes 3-foot dunk (Tristan Vukcevic assists),4,4,1,10:08,True,2,{'id': '27'},"[{'athlete': {'id': '5104155'}}, {'athlete': {'id': '4997537'}}]",2026-04-01T23:13:18Z,True,"{'x': 27, 'y': 2}",2,+2 Points,608.0
40181096021,21,"{'id': '92', 'text': 'Jump Shot'}",VJ Edgecombe misses 24-foot three point jumper,4,4,1,10:01,False,0,{'id': '20'},[{'athlete': {'id': '5124612'}}],2026-04-01T23:13:25Z,True,"{'x': 2, 'y': 8}",3,Missed 3PT,601.0
