id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,clockSec
4018102074,4,"{'id': '615', 'text': 'Jumpball'}",Quinten Post vs. Evan Mobley (De'Andre Hunter gains possession),0,0,1,12:00,False,0,{'id': '5'},"[{'athlete': {'id': '4432158'}}, {'athlete': {'id': '4593016'}}, {'athlete': {'id': '4065732'}}]",2025-12-07T00:42:11Z,False,"{'x': -214748340, 'y': -214748365}",0,Jump Ball,720.0
4018102077,7,"{'id': '45', 'text': 'Personal Foul'}",Pat Spencer personal foul,0,0,1,11:45,False,0,{'id': '9'},[{'athlete': {'id': '4592714'}}],2025-12-07T00:42:24Z,False,"{'x': 20, 'y': -1}",0,Foul,705.0
4018102079,9,"{'id': '118', 'text': 'Alley Oop Dunk Shot'}",Evan Mobley makes alley oop dunk shot (Darius Garland assists),0,2,1,11:34,True,2,{'id': '5'},"[{'athlete': {'id': '4432158'}}, {'athlete': {'id': '4396907'}}]",2025-12-07T00:42:53Z,True,"{'x': 24, 'y': 0}",2,+2 Points,694.0
40181020711,11,"{'id': '131', 'text': 'Pullup Jump Shot'}",Quinten Post makes 27-foot three pointer (Buddy Hield assists),3,2,1,11:11,True,3,{'id': '9'},"[{'athlete': {'id': '4593016'}}, {'athlete': {'id': '2990984'}}]",2025-12-07T00:43:16Z,True,"{'x': 26, 'y': 28}",3,+3 Points,671.0
40181020713,13,"{'id': '110', 'text': 'Driving Layup Shot'}",Evan Mobley misses driving layup,3,2,1,10:58,False,0,{'id': '5'},[{'athlete': {'id': '4432158'}}],2025-12-07T00:43:30Z,True,"{'x': 26, 'y': 4}",2,Missed FG,658.0
40181020714,14,"{'id': '155', 'text': 'Defensive Rebound'}",Buddy Hield defensive rebound,3,2,1,10:55,False,0,{'id': '9'},[{'athlete': {'id': '2990984'}}],2025-12-07T00:43:33Z,False,"{'x': 26, 'y': 4}",0,Rebound,655.0
40181020715,15,"{'id': '128', 'text': 'Driving Finger Roll Layup'}",Quinten Post misses two point shot,3,2,1,10:45,False,0,{'id': '9'},[{'athlete': {'id': '4593016'}}],2025-12-07T00:43:42Z,True,"{'x': 26, 'y': 2}",2,Missed FG,645.0
40181020716,16,"{'id': '155', 'text': 'Defensive Rebound'}",Evan Mobley defensive rebound,3,2,1,10:43,False,0,{'id': '5'},[{'athlete': {'id': '4432158'}}],2025-12-07T00:43:44Z,False,"{'x': 26, 'y': 2}",0,Rebound,643.0
40181020717,17,"{'id': '109', 'text': 'Running Layup Shot'}",De'Andre Hunter misses two point shot,3,2,1,10:39,False,0,{'id': '5'},[{'athlete': {'id': '4065732'}}],2025-12-07T00:43:48Z,True,"{'x': 26, 'y': 1}",2,Missed FG,639.0
40181020718,18,"{'id': '155', 'text': 'Defensive Rebound'}",Jonathan Kuminga defensive rebound,3,2,1,10:35,False,0,{'id': '9'},[{'athlete': {'id': '4433247'}}],2025-12-07T00:43:52Z,False,"{'x': 26, 'y': 1}",0,Rebound,635.0
40181020721,21,"{'id': '121', 'text': 'Fade Away Jump Shot'}",Jonathan Kuminga misses 10-foot two point shot,3,2,1,10:29,False,0,{'id': '9'},[{'athlete': {'id': '4433247'}}],2025-12-07T00:43:58Z,True,"{'x': 17, 'y': 6}",2,Missed FG,629.0
40181020722,22,"{'id': '155', 'text': 'Defensive Rebound'}",Darius Garland defensive rebound,3,2,1,10:26,False,0,{'id': '5'},[{'athlete': {'id': '4396907'}}],2025-12-07T00:44:01Z,False,"{'x': 17, 'y': 6}",0,Rebound,626.0
40181020723,23,"{'id': '113', 'text': 'Running Jump Shot'}",De'Andre Hunter misses 25-foot three point shot,3,2,1,10:23,False,0,{'id': '5'},[{'athlete': {'id': '4065732'}}],2025-12-07T00:44:03Z,True,"{'x': 46, 'y': 14}",3,Missed 3PT,623.0
40181020724,24,"{'id': '156', 'text': 'Offensive Rebound'}",Jaylon Tyson offensive rebound,3,2,1,10:21,False,0,{'id': '5'},[{'athlete': {'id': '4683747'}}],2025-12-07T00:44:06Z,False,"{'x': 46, 'y': 14}",0,Rebound,621.0
40181020725,25,"{'id': '92', 'text': 'Jump Shot'}",De'Andre Hunter misses 24-foot three point jumper,3,2,1,10:17,False,0,{'id': '5'},[{'athlete': {'id': '4065732'}}],2025-12-07T00:44:11Z,True,"{'x': 48, 'y': 10}",3,Missed 3PT,617.0
40181020726,26,"{'id': '155', 'text': 'Defensive Rebound'}",Buddy Hield defensive rebound,3,2,1,10:14,False,0,{'id': '9'},[{'athlete': {'id': '2990984'}}],2025-12-07T00:44:14Z,False,"{'x': 48, 'y': 10}",0,Rebound,614.0
40181020727,27,"{'id': '144', 'text': 'Driving Floating Jump Shot'}",Buddy Hield misses driving floating jump shot,3,2,1,9:59,False,0,{'id': '9'},[{'athlete': {'id': '2990984'}}],2025-12-07T00:44:28Z,True,"{'x': 27, 'y': 10}",2,Missed FG,599.0
40181020728,28,"{'id': '156', 'text': 'Offensive Rebound'}",Buddy Hield offensive rebound,3,2,1,9:56,False,0,{'id': '9'},[{'athlete': {'id': '2990984'}}],2025-12-07T00:44:31Z,False,"{'x': 27, 'y': 10}",0,Rebound,596.0
40181020729,29,"{'id': '94', 'text': 'Tip Shot'}",Buddy Hield misses tip shot,3,2,1,9:56,False,0,{'id': '9'},[{'athlete': {'id': '2990984'}}],2025-12-07T00:44:31Z,True,"{'x': 25, 'y': 0}",2,Missed FG,596.0
40181020730,30,"{'id': '155', 'text': 'Defensive Rebound'}",Evan Mobley defensive rebound,3,2,1,9:56,False,0,{'id': '5'},[{'athlete': {'id': '4432158'}}],2025-12-07T00:44:31Z,False,"{'x': 25, 'y': 0}",0,Rebound,596.0
40181020731,31,"{'id': '92', 'text': 'Jump Shot'}",Evan Mobley misses 25-foot three point jumper,3,2,1,9:47,False,0,{'id': '5'},[{'athlete': {'id': '4432158'}}],2025-12-07T00:44:41Z,True,"{'x': 13, 'y': 22}",3,Missed 3PT,587.0
40181020732,32,"{'id': '155', 'text': 'Defensive Rebound'}",Quinten Post defensive rebound,3,2,1,9:42,False,0,{'id': '9'},[{'athlete': {'id': '4593016'}}],2025-12-07T00:44:46Z,False,"{'x': 13, 'y': 22}",0,Rebound,582.0
