id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,clockSec
4018100404,4,"{'id': '615', 'text': 'Jumpball'}",Deandre Ayton vs. Onyeka Okongwu (Rui Hachimura gains possession),0,0,1,12:00,False,0,{'id': '13'},"[{'athlete': {'id': '4278129'}}, {'athlete': {'id': '4431680'}}, {'athlete': {'id': '4066648'}}]",2025-11-09T01:10:25Z,False,"{'x': -214748340, 'y': -214748365}",0,720.0
4018100407,7,"{'id': '63', 'text': 'Lost Ball Turnover'}",Deandre Ayton lost ball turnover (Onyeka Okongwu steals),0,0,1,11:45,False,0,{'id': '13'},"[{'athlete': {'id': '4278129'}}, {'athlete': {'id': '4431680'}}]",2025-11-09T01:10:36Z,False,"{'x': 30, 'y': 7}",0,705.0
4018100409,9,"{'id': '110', 'text': 'Driving Layup Shot'}",Zaccharie Risacher makes driving layup (Keaton Wallace assists),0,2,1,11:32,True,2,{'id': '1'},"[{'athlete': {'id': '5211175'}}, {'athlete': {'id': '4279118'}}]",2025-11-09T01:10:49Z,True,"{'x': 24, 'y': 1}",2,692.0
40181004010,10,"{'id': '118', 'text': 'Alley Oop Dunk Shot'}",Deandre Ayton makes 1-foot alley oop dunk shot (Marcus Smart assists),2,2,1,11:17,True,2,{'id': '13'},"[{'athlete': {'id': '4278129'}}, {'athlete': {'id': '2990992'}}]",2025-11-09T01:11:05Z,True,"{'x': 26, 'y': 2}",2,677.0
40181004012,12,"{'id': '142', 'text': 'Cutting Finger Roll Layup Shot'}",Dyson Daniels makes layup (Mouhamed Gueye assists),2,4,1,10:54,True,2,{'id': '1'},"[{'athlete': {'id': '4869342'}}, {'athlete': {'id': '4712863'}}]",2025-11-09T01:11:27Z,True,"{'x': 24, 'y': 1}",2,654.0
40181004014,14,"{'id': '92', 'text': 'Jump Shot'}",Jake LaRavia misses 25-foot three point jumper,2,4,1,10:40,False,0,{'id': '13'},[{'athlete': {'id': '4592691'}}],2025-11-09T01:11:41Z,True,"{'x': 49, 'y': 9}",3,640.0
40181004015,15,"{'id': '155', 'text': 'Defensive Rebound'}",Keaton Wallace defensive rebound,2,4,1,10:38,False,0,{'id': '1'},[{'athlete': {'id': '4279118'}}],2025-11-09T01:11:43Z,False,"{'x': 49, 'y': 9}",0,638.0
40181004016,16,"{'id': '109', 'text': 'Running Layup Shot'}",Onyeka Okongwu makes two point shot (Dyson Daniels assists),2,6,1,10:33,True,2,{'id': '1'},"[{'athlete': {'id': '4431680'}}, {'athlete': {'id': '4869342'}}]",2025-11-09T01:11:49Z,True,"{'x': 28, 'y': 2}",2,633.0
40181004018,18,"{'id': '141', 'text': 'Cutting Layup Shot'}",Rui Hachimura makes 1-foot layup (Luka Doncic assists),4,6,1,10:22,True,2,{'id': '13'},"[{'athlete': {'id': '4066648'}}, {'athlete': {'id': '3945274'}}]",2025-11-09T01:12:01Z,True,"{'x': 25, 'y': 1}",2,622.0
40181004020,20,"{'id': '9', 'text': 'Defensive Goaltending'}",Mouhamed Gueye defensive goaltending violation,4,6,1,10:22,False,0,{'id': '1'},[{'athlete': {'id': '4712863'}}],2025-11-09T01:12:10Z,False,"{'x': -214748340, 'y': -214748365}",0,622.0
