id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,clockSec
4018106164,4,"{'id': '615', 'text': 'Jumpball'}",Jalen Duren vs. Moussa Diabate (Ausar Thompson gains possession),0,0,1,12:00,False,0,{'id': '8'},"[{'athlete': {'id': '4433621'}}, {'athlete': {'id': '4433249'}}, {'athlete': {'id': '4684742'}}]",2026-02-10T00:10:45Z,False,"{'x': -214748340, 'y': -214748365}",0,Jump Ball,720.0
4018106167,7,"{'id': '131', 'text': 'Pullup Jump Shot'}",Duncan Robinson makes 12-foot pullup jump shot (Cade Cunningham assists),2,0,1,11:45,True,2,{'id': '8'},"[{'athlete': {'id': '3157465'}}, {'athlete': {'id': '4432166'}}]",2026-02-10T00:10:56Z,True,"{'x': 20, 'y': 12}",2,+2 Points,705.0
4018106169,9,"{'id': '92', 'text': 'Jump Shot'}",Brandon Miller misses 16-foot jumper,2,0,1,11:23,False,0,{'id': '30'},[{'athlete': {'id': '4433287'}}],2026-02-10T00:11:18Z,True,"{'x': 39, 'y': 9}",2,Missed FG,683.0
40181061610,10,"{'id': '155', 'text': 'Defensive Rebound'}",Cade Cunningham defensive rebound,2,0,1,11:21,False,0,{'id': '8'},[{'athlete': {'id': '4432166'}}],2026-02-10T00:11:20Z,False,"{'x': 39, 'y': 9}",0,Rebound,681.0
40181061611,11,"{'id': '109', 'text': 'Running Layup Shot'}",Duncan Robinson makes running layup (Cade Cunningham assists),4,0,1,11:16,True,2,{'id': '8'},"[{'athlete': {'id': '3157465'}}, {'athlete': {'id': '4432166'}}]",2026-02-10T00:11:25Z,True,"{'x': 26, 'y': 1}",2,+2 Points,676.0
40181061613,13,"{'id': '73', 'text': 'Offensive Goaltending Turnover'}",Moussa Diabate offensive goaltending turnover,4,0,1,10:57,False,0,{'id': '30'},[{'athlete': {'id': '4433249'}}],2026-02-10T00:11:49Z,False,"{'x': 25, 'y': 3}",0,Turnover,657.0
40181061614,14,"{'id': '131', 'text': 'Pullup Jump Shot'}",Cade Cunningham misses 19-foot pullup jump shot,4,0,1,10:45,False,0,{'id': '8'},[{'athlete': {'id': '4432166'}}],2026-02-10T00:12:10Z,True,"{'x': 38, 'y': 16}",2,Missed FG,645.0
40181061615,15,"{'id': '156', 'text': 'Offensive Rebound'}",Ausar Thompson offensive rebound,4,0,1,10:41,False,0,{'id': '8'},[{'athlete': {'id': '4684742'}}],2026-02-10T00:12:13Z,False,"{'x': 38, 'y': 16}",0,Rebound,641.0
40181061616,16,"{'id': '131', 'text': 'Pullup Jump Shot'}",Tobias Harris misses 23-foot three point pullup jump shot,4,0,1,10:38,False,0,{'id': '8'},[{'athlete': {'id': '6440'}}],2026-02-10T00:12:16Z,True,"{'x': 48, 'y': 3}",3,Missed 3PT,638.0
40181061617,17,"{'id': '156', 'text': 'Offensive Rebound'}",Jalen Duren offensive rebound,4,0,1,10:35,False,0,{'id': '8'},[{'athlete': {'id': '4433621'}}],2026-02-10T00:12:18Z,False,"{'x': 48, 'y': 3}",0,Rebound,635.0
40181061618,18,"{'id': '110', 'text': 'Driving Layup Shot'}",Ausar Thompson misses driving layup,4,0,1,10:34,False,0,{'id': '8'},[{'athlete': {'id': '4684742'}}],2026-02-10T00:12:20Z,True,"{'x': 24, 'y': 3}",2,Missed FG,634.0
40181061619,19,"{'id': '155', 'text': 'Defensive Rebound'}",Miles Bridges defensive rebound,4,0,1,10:32,False,0,{'id': '30'},[{'athlete': {'id': '4066383'}}],2026-02-10T00:12:22Z,False,"{'x': 24, 'y': 3}",0,Rebound,632.0
40181061620,20,"{'id': '92', 'text': 'Jump Shot'}",Miles Bridges misses 22-foot three point jumper,4,0,1,10:15,False,0,{'id': '30'},[{'athlete': {'id': '4066383'}}],2026-02-10T00:12:39Z,True,"{'x': 48, 'y': 2}",3,Missed 3PT,615.0
40181061621,21,"{'id': '155', 'text': 'Defensive Rebound'}",Duncan Robinson defensive rebound,4,0,1,10:13,False,0,{'id': '8'},[{'athlete': {'id': '3157465'}}],2026-02-10T00:12:41Z,False,"{'x': 48, 'y': 2}",0,Rebound,613.0
40181061622,22,"{'id': '110', 'text': 'Driving Layup Shot'}",Kon Knueppel blocks Cade Cunningham 's 9-foot driving layup,4,0,1,10:07,False,0,{'id': '8'},"[{'athlete': {'id': '4432166'}}, {'athlete': {'id': '5061575'}}]",2026-02-10T00:12:49Z,True,"{'x': 26, 'y': 9}",2,Missed FG,607.0
40181061624,24,"{'id': '156', 'text': 'Offensive Rebound'}",Pistons offensive team rebound,4,0,1,10:07,False,0,{'id': '8'},,2026-02-10T00:12:49Z,False,"{'x': 26, 'y': 9}",0,Rebound,607.0
40181061626,26,"{'id': '45', 'text': 'Personal Foul'}",LaMelo Ball personal foul,4,0,1,10:02,False,0,{'id': '30'},[{'athlete': {'id': '4432816'}}],2026-02-10T00:13:13Z,False,"{'x': 20, 'y': 11}",0,Foul,602.0
