id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,clockSec
4017055624,4,"{'id': '615', 'text': 'Jumpball'}",Brook Lopez vs. Jaxson Hayes (Ryan Rollins gains possession),0,0,1,12:00,False,0,{'id': '15'},"[{'athlete': {'id': '3448'}}, {'athlete': {'id': '4397077'}}, {'athlete': {'id': '4591725'}}]",2025-03-21T02:40:50Z,False,"{'x': -214748340, 'y': -214748365}",720.0
4017055627,7,"{'id': '92', 'text': 'Jump Shot'}",Kyle Kuzma misses 26-foot three point jumper,0,0,1,11:42,False,0,{'id': '15'},[{'athlete': {'id': '3134907'}}],2025-03-21T02:41:04Z,True,"{'x': 8, 'y': 20}",702.0
4017055628,8,"{'id': '155', 'text': 'Defensive Rebound'}",Jordan Goodwin defensive rebound,0,0,1,11:38,False,0,{'id': '13'},[{'athlete': {'id': '4278402'}}],2025-03-21T02:41:08Z,False,"{'x': 8, 'y': 20}",698.0
4017055629,9,"{'id': '92', 'text': 'Jump Shot'}",Gabe Vincent misses 28-foot three point jumper,0,0,1,11:20,False,0,{'id': '13'},[{'athlete': {'id': '3137259'}}],2025-03-21T02:41:26Z,True,"{'x': 40, 'y': 25}",680.0
40170556210,10,"{'id': '155', 'text': 'Defensive Rebound'}",Kyle Kuzma defensive rebound,0,0,1,11:17,False,0,{'id': '15'},[{'athlete': {'id': '3134907'}}],2025-03-21T02:41:29Z,False,"{'x': 40, 'y': 25}",677.0
40170556211,11,"{'id': '134', 'text': 'Driving Jump Shot Bank'}",Giannis Antetokounmpo makes 4-foot two point shot (Kyle Kuzma assists),2,0,1,11:09,True,2,{'id': '15'},"[{'athlete': {'id': '3032977'}}, {'athlete': {'id': '3134907'}}]",2025-03-21T02:41:36Z,True,"{'x': 26, 'y': 5}",669.0
40170556213,13,"{'id': '151', 'text': 'Cutting Dunk Shot'}",Jaxson Hayes makes 1-foot dunk (Jordan Goodwin assists),2,2,1,10:55,True,2,{'id': '13'},"[{'athlete': {'id': '4397077'}}, {'athlete': {'id': '4278402'}}]",2025-03-21T02:41:51Z,True,"{'x': 26, 'y': 2}",655.0
40170556215,15,"{'id': '121', 'text': 'Fade Away Jump Shot'}",Taurean Prince makes 14-foot two point shot (Giannis Antetokounmpo assists),4,2,1,10:37,True,2,{'id': '15'},"[{'athlete': {'id': '2990962'}}, {'athlete': {'id': '3032977'}}]",2025-03-21T02:42:08Z,True,"{'x': 24, 'y': 14}",637.0
40170556217,17,"{'id': '92', 'text': 'Jump Shot'}",Markieff Morris misses 26-foot three point jumper,4,2,1,10:21,False,0,{'id': '13'},[{'athlete': {'id': '6461'}}],2025-03-21T02:42:24Z,True,"{'x': 10, 'y': 22}",621.0
40170556218,18,"{'id': '155', 'text': 'Defensive Rebound'}",Bucks defensive team rebound,4,2,1,10:21,False,0,{'id': '15'},,2025-03-21T02:42:24Z,False,"{'x': 10, 'y': 22}",621.0
40170556219,19,"{'id': '43', 'text': 'Loose Ball Foul'}",Gabe Vincent loose ball foul,4,2,1,10:19,False,0,{'id': '13'},[{'athlete': {'id': '3137259'}}],2025-03-21T02:42:34Z,False,"{'x': 31, 'y': 4}",619.0
40170556221,21,"{'id': '112', 'text': 'Reverse Layup Shot'}",Giannis Antetokounmpo makes 1-foot two point shot (Kyle Kuzma assists),6,2,1,10:06,True,2,{'id': '15'},"[{'athlete': {'id': '3032977'}}, {'athlete': {'id': '3134907'}}]",2025-03-21T02:42:56Z,True,"{'x': 26, 'y': 2}",606.0
40170556223,23,"{'id': '44', 'text': 'Shooting Foul'}",Jaxson Hayes shooting foul,6,2,1,10:06,False,0,{'id': '13'},[{'athlete': {'id': '4397077'}}],2025-03-21T02:43:00Z,False,"{'x': 26, 'y': 2}",606.0
