id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,clockSec
4018105934,4,"{'id': '615', 'text': 'Jumpball'}",Victor Wembanyama vs. Daniel Gafford (Julian Champagnie gains possession),0,0,1,12:00,False,0,{'id': '24'},"[{'athlete': {'id': '5104157'}}, {'athlete': {'id': '4278049'}}, {'athlete': {'id': '4592479'}}]",2026-02-06T01:41:19Z,False,"{'x': -214748340, 'y': -214748365}",0,Jump Ball,720.0
4018105937,7,"{'id': '92', 'text': 'Jump Shot'}",Harrison Barnes misses 22-foot three point jumper,0,0,1,11:39,False,0,{'id': '24'},[{'athlete': {'id': '6578'}}],2026-02-06T01:41:36Z,True,"{'x': 48, 'y': 1}",3,Missed 3PT,699.0
4018105938,8,"{'id': '156', 'text': 'Offensive Rebound'}",Victor Wembanyama offensive rebound,0,0,1,11:37,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2026-02-06T01:41:38Z,False,"{'x': 48, 'y': 1}",0,Rebound,697.0
4018105939,9,"{'id': '92', 'text': 'Jump Shot'}",Devin Vassell misses 25-foot three point jumper,0,0,1,11:35,False,0,{'id': '24'},[{'athlete': {'id': '4395630'}}],2026-02-06T01:41:41Z,True,"{'x': 27, 'y': 26}",3,Missed 3PT,695.0
40181059310,10,"{'id': '155', 'text': 'Defensive Rebound'}",Mavericks defensive team rebound,0,0,1,11:33,False,0,{'id': '6'},,2026-02-06T01:41:43Z,False,"{'x': 27, 'y': 26}",0,Rebound,693.0
40181059312,12,"{'id': '110', 'text': 'Driving Layup Shot'}",Max Christie makes driving layup (Daniel Gafford assists),0,2,1,11:14,True,2,{'id': '6'},"[{'athlete': {'id': '4432582'}}, {'athlete': {'id': '4278049'}}]",2026-02-06T01:42:12Z,True,"{'x': 27, 'y': 0}",2,+2 Points,674.0
40181059314,14,"{'id': '92', 'text': 'Jump Shot'}",Devin Vassell misses 23-foot three point jumper,0,2,1,11:06,False,0,{'id': '24'},[{'athlete': {'id': '4395630'}}],2026-02-06T01:42:20Z,True,"{'x': 2, 'y': 1}",3,Missed 3PT,666.0
40181059315,15,"{'id': '156', 'text': 'Offensive Rebound'}",Devin Vassell offensive rebound,0,2,1,11:04,False,0,{'id': '24'},[{'athlete': {'id': '4395630'}}],2026-02-06T01:42:22Z,False,"{'x': 2, 'y': 1}",0,Rebound,664.0
40181059316,16,"{'id': '92', 'text': 'Jump Shot'}",Victor Wembanyama makes 24-foot three point jumper (Julian Champagnie assists),3,2,1,11:00,True,3,{'id': '24'},"[{'athlete': {'id': '5104157'}}, {'athlete': {'id': '4592479'}}]",2026-02-06T01:42:25Z,True,"{'x': 42, 'y': 18}",3,+3 Points,660.0
40181059318,18,"{'id': '132', 'text': 'Step Back Jump Shot'}",Max Christie misses 19-foot step back jumpshot,3,2,1,10:38,False,0,{'id': '6'},[{'athlete': {'id': '4432582'}}],2026-02-06T01:42:48Z,True,"{'x': 16, 'y': 17}",2,Missed FG,638.0
40181059319,19,"{'id': '155', 'text': 'Defensive Rebound'}",Devin Vassell defensive rebound,3,2,1,10:35,False,0,{'id': '24'},[{'athlete': {'id': '4395630'}}],2026-02-06T01:42:51Z,False,"{'x': 16, 'y': 17}",0,Rebound,635.0
40181059320,20,"{'id': '132', 'text': 'Step Back Jump Shot'}",De'Aaron Fox misses 24-foot three point step back jumpshot,3,2,1,10:28,False,0,{'id': '24'},[{'athlete': {'id': '4066259'}}],2026-02-06T01:42:58Z,True,"{'x': 20, 'y': 25}",3,Missed 3PT,628.0
40181059321,21,"{'id': '155', 'text': 'Defensive Rebound'}",Caleb Martin defensive rebound,3,2,1,10:26,False,0,{'id': '6'},[{'athlete': {'id': '3138160'}}],2026-02-06T01:43:00Z,False,"{'x': 20, 'y': 25}",0,Rebound,626.0
40181059322,22,"{'id': '131', 'text': 'Pullup Jump Shot'}",Cooper Flagg makes 13-foot pullup jump shot,3,4,1,10:18,True,2,{'id': '6'},[{'athlete': {'id': '5041939'}}],2026-02-06T01:43:08Z,True,"{'x': 22, 'y': 13}",2,+2 Points,618.0
40181059323,23,"{'id': '92', 'text': 'Jump Shot'}",Julian Champagnie misses 24-foot three point jumper,3,4,1,10:07,False,0,{'id': '24'},[{'athlete': {'id': '4592479'}}],2026-02-06T01:43:18Z,True,"{'x': 27, 'y': 25}",3,Missed 3PT,607.0
40181059324,24,"{'id': '155', 'text': 'Defensive Rebound'}",Daniel Gafford defensive rebound,3,4,1,10:04,False,0,{'id': '6'},[{'athlete': {'id': '4278049'}}],2026-02-06T01:43:21Z,False,"{'x': 27, 'y': 25}",0,Rebound,604.0
40181059325,25,"{'id': '113', 'text': 'Running Jump Shot'}",Caleb Martin misses 22-foot running jump shot,3,4,1,10:00,False,0,{'id': '6'},[{'athlete': {'id': '3138160'}}],2026-02-06T01:43:27Z,True,"{'x': 46, 'y': 9}",2,Missed FG,600.0
40181059326,26,"{'id': '155', 'text': 'Defensive Rebound'}",Julian Champagnie defensive rebound,3,4,1,9:58,False,0,{'id': '24'},[{'athlete': {'id': '4592479'}}],2026-02-06T01:43:29Z,False,"{'x': 46, 'y': 9}",0,Rebound,598.0
40181059327,27,"{'id': '145', 'text': 'Driving Floating Bank Jump Shot'}",Julian Champagnie misses two point shot,3,4,1,9:49,False,0,{'id': '24'},[{'athlete': {'id': '4592479'}}],2026-02-06T01:43:37Z,True,"{'x': 31, 'y': 3}",2,Missed FG,589.0
40181059328,28,"{'id': '155', 'text': 'Defensive Rebound'}",Caleb Martin defensive rebound,3,4,1,9:47,False,0,{'id': '6'},[{'athlete': {'id': '3138160'}}],2026-02-06T01:43:39Z,False,"{'x': 31, 'y': 3}",0,Rebound,587.0
40181059329,29,"{'id': '12', 'text': 'Kicked Ball'}",Harrison Barnes kicked ball violation,3,4,1,9:36,False,0,{'id': '24'},[{'athlete': {'id': '6578'}}],2026-02-06T01:43:54Z,False,"{'x': -214748340, 'y': -214748365}",0,Violation,576.0
40181059330,30,"{'id': '144', 'text': 'Driving Floating Jump Shot'}",Cooper Flagg misses driving floating jump shot,3,4,1,9:28,False,0,{'id': '6'},[{'athlete': {'id': '5041939'}}],2026-02-06T01:44:12Z,True,"{'x': 30, 'y': 8}",2,Missed FG,568.0
40181059331,31,"{'id': '156', 'text': 'Offensive Rebound'}",Cooper Flagg offensive rebound,3,4,1,9:25,False,0,{'id': '6'},[{'athlete': {'id': '5041939'}}],2026-02-06T01:44:15Z,False,"{'x': 30, 'y': 8}",0,Rebound,565.0
40181059332,32,"{'id': '94', 'text': 'Tip Shot'}",Cooper Flagg misses 2-foot tip shot,3,4,1,9:25,False,0,{'id': '6'},[{'athlete': {'id': '5041939'}}],2026-02-06T01:44:16Z,True,"{'x': 27, 'y': 1}",2,Missed FG,565.0
40181059333,33,"{'id': '155', 'text': 'Defensive Rebound'}",Victor Wembanyama defensive rebound,3,4,1,9:25,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2026-02-06T01:44:16Z,False,"{'x': 27, 'y': 1}",0,Rebound,565.0
40181059334,34,"{'id': '24', 'text': 'Offensive Charge'}",Victor Wembanyama offensive charge,3,4,1,9:20,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2026-02-06T01:44:25Z,False,"{'x': 21, 'y': 3}",0,Foul,560.0
40181059336,36,"{'id': '84', 'text': 'Offensive Foul Turnover'}",Victor Wembanyama offensive foul turnover,3,4,1,9:20,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2026-02-06T01:44:25Z,False,"{'x': 21, 'y': 3}",0,Turnover,560.0
40181059337,37,"{'id': '62', 'text': 'Bad Pass\nTurnover'}","Max Christie bad pass
turnover (Victor Wembanyama steals)",3,4,1,9:11,False,0,{'id': '6'},"[{'athlete': {'id': '4432582'}}, {'athlete': {'id': '5104157'}}]",2026-02-06T01:44:47Z,False,"{'x': 18, 'y': 17}",0,Turnover,551.0
40181059339,39,"{'id': '92', 'text': 'Jump Shot'}",Victor Wembanyama makes 24-foot three point jumper (Harrison Barnes assists),6,4,1,9:02,True,3,{'id': '24'},"[{'athlete': {'id': '5104157'}}, {'athlete': {'id': '6578'}}]",2026-02-06T01:44:56Z,True,"{'x': 21, 'y': 25}",3,+3 Points,542.0
40181059341,41,"{'id': '110', 'text': 'Driving Layup Shot'}",Naji Marshall misses driving layup,6,4,1,8:47,False,0,{'id': '6'},[{'athlete': {'id': '4278594'}}],2026-02-06T01:45:14Z,True,"{'x': 23, 'y': 2}",2,Missed FG,527.0
40181059342,42,"{'id': '156', 'text': 'Offensive Rebound'}",Daniel Gafford offensive rebound,6,4,1,8:45,False,0,{'id': '6'},[{'athlete': {'id': '4278049'}}],2026-02-06T01:45:16Z,False,"{'x': 23, 'y': 2}",0,Rebound,525.0
40181059343,43,"{'id': '125', 'text': 'Layup Shot Putback'}",Daniel Gafford makes two point shot,6,6,1,8:45,True,2,{'id': '6'},[{'athlete': {'id': '4278049'}}],2026-02-06T01:45:17Z,True,"{'x': 25, 'y': 0}",2,+2 Points,525.0
40181059344,44,"{'id': '92', 'text': 'Jump Shot'}",Harrison Barnes misses 22-foot three point jumper,6,6,1,8:36,False,0,{'id': '24'},[{'athlete': {'id': '6578'}}],2026-02-06T01:45:22Z,True,"{'x': 48, 'y': 4}",3,Missed 3PT,516.0
40181059346,46,"{'id': '156', 'text': 'Offensive Rebound'}",Julian Champagnie offensive rebound,6,6,1,8:36,False,0,{'id': '24'},[{'athlete': {'id': '4592479'}}],2026-02-06T01:45:22Z,False,"{'x': 48, 'y': 4}",0,Rebound,516.0
40181059347,47,"{'id': '92', 'text': 'Jump Shot'}",Victor Wembanyama makes 24-foot three point jumper (De'Aaron Fox assists),9,6,1,8:28,True,3,{'id': '24'},"[{'athlete': {'id': '5104157'}}, {'athlete': {'id': '4066259'}}]",2026-02-06T01:45:30Z,True,"{'x': 2, 'y': 7}",3,+3 Points,508.0
40181059349,49,"{'id': '62', 'text': 'Bad Pass\nTurnover'}","Caleb Martin bad pass
turnover (Victor Wembanyama steals)",9,6,1,8:05,False,0,{'id': '6'},"[{'athlete': {'id': '3138160'}}, {'athlete': {'id': '5104157'}}]",2026-02-06T01:45:53Z,False,"{'x': 29, 'y': 2}",0,Turnover,485.0
40181059351,51,"{'id': '113', 'text': 'Running Jump Shot'}",Julian Champagnie misses 23-foot running jump shot,9,6,1,8:00,False,0,{'id': '24'},[{'athlete': {'id': '4592479'}}],2026-02-06T01:45:58Z,True,"{'x': 2, 'y': 0}",3,Missed 3PT,480.0
40181059352,52,"{'id': '156', 'text': 'Offensive Rebound'}",Victor Wembanyama offensive rebound,9,6,1,7:57,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2026-02-06T01:46:01Z,False,"{'x': 2, 'y': 0}",0,Rebound,477.0
40181059353,53,"{'id': '44', 'text': 'Shooting Foul'}",Daniel Gafford shooting foul,9,6,1,7:55,False,0,{'id': '6'},[{'athlete': {'id': '4278049'}}],2026-02-06T01:46:06Z,False,"{'x': 29, 'y': 1}",0,Foul,475.0
40181059355,55,"{'id': '98', 'text': 'Free Throw - 1 of 2'}",Victor Wembanyama makes free throw 1 of 2,10,6,1,7:55,True,1,{'id': '24'},[{'athlete': {'id': '5104157'}}],2026-02-06T01:46:40Z,True,"{'x': -214748340, 'y': -214748365}",1,+1 Point,475.0
40181059356,56,"{'id': '99', 'text': 'Free Throw - 2 of 2'}",Victor Wembanyama misses free throw 2 of 2,10,6,1,7:55,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2026-02-06T01:46:40Z,True,"{'x': -214748340, 'y': -214748365}",1,Missed FT,475.0
40181059357,57,"{'id': '155', 'text': 'Defensive Rebound'}",Cooper Flagg defensive rebound,10,6,1,7:53,False,0,{'id': '6'},[{'athlete': {'id': '5041939'}}],2026-02-06T01:46:42Z,False,"{'x': -214748340, 'y': -214748365}",0,Rebound,473.0
40181059358,58,"{'id': '44', 'text': 'Shooting Foul'}",Victor Wembanyama shooting foul,10,6,1,7:40,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2026-02-06T01:47:22Z,False,"{'x': 22, 'y': 4}",0,Foul,460.0
40181059361,61,"{'id': '16', 'text': 'Full Timeout'}",Mavericks Full timeout,10,6,1,7:40,False,0,{'id': '6'},,2026-02-06T01:47:36Z,False,"{'x': -214748340, 'y': -214748365}",0,Timeout,460.0
