id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,clockSec
4017054154,4,"{'id': '615', 'text': 'Jumpball'}",Naz Reid vs. Jaxson Hayes (LeBron James gains possession),0,0,1,12:00,False,0,{'id': '13'},"[{'athlete': {'id': '4397077'}}, {'athlete': {'id': '4396971'}}, {'athlete': {'id': '1966'}}]",2025-02-28T03:41:13Z,False,"{'x': -214748340, 'y': -214748365}",720.0
4017054157,7,"{'id': '131', 'text': 'Pullup Jump Shot'}",Austin Reaves makes 32-foot three pointer,0,3,1,11:38,True,3,{'id': '13'},[{'athlete': {'id': '4066457'}}],2025-02-28T03:41:32Z,True,"{'x': 25, 'y': 33}",698.0
4017054158,8,"{'id': '92', 'text': 'Jump Shot'}",Jaylen Clark makes 25-foot three point jumper (Naz Reid assists),3,3,1,11:15,True,3,{'id': '16'},"[{'athlete': {'id': '4432247'}}, {'athlete': {'id': '4396971'}}]",2025-02-28T03:41:53Z,True,"{'x': 41, 'y': 20}",675.0
40170541510,10,"{'id': '76', 'text': 'Kicked Ball Turnover'}",Austin Reaves kicked ball turnover,3,3,1,11:07,False,0,{'id': '13'},[{'athlete': {'id': '4066457'}}],2025-02-28T03:42:03Z,False,"{'x': 29, 'y': 6}",667.0
40170541511,11,"{'id': '131', 'text': 'Pullup Jump Shot'}",Jaden McDaniels misses 13-foot pullup jump shot,3,3,1,10:55,False,0,{'id': '16'},[{'athlete': {'id': '4431671'}}],2025-02-28T03:42:28Z,True,"{'x': 20, 'y': 13}",655.0
40170541512,12,"{'id': '155', 'text': 'Defensive Rebound'}",Rui Hachimura defensive rebound,3,3,1,10:54,False,0,{'id': '13'},[{'athlete': {'id': '4066648'}}],2025-02-28T03:42:29Z,False,"{'x': 20, 'y': 13}",654.0
40170541513,13,"{'id': '96', 'text': 'Dunk Shot'}",Jaxson Hayes makes 1-foot dunk (Luka Doncic assists),3,5,1,10:44,True,2,{'id': '13'},"[{'athlete': {'id': '4397077'}}, {'athlete': {'id': '3945274'}}]",2025-02-28T03:42:39Z,True,"{'x': 26, 'y': 2}",644.0
40170541515,15,"{'id': '132', 'text': 'Step Back Jump Shot'}",Naz Reid misses 24-foot three point step back jumpshot,3,5,1,10:32,False,0,{'id': '16'},[{'athlete': {'id': '4396971'}}],2025-02-28T03:42:51Z,True,"{'x': 10, 'y': 20}",632.0
40170541516,16,"{'id': '155', 'text': 'Defensive Rebound'}",Austin Reaves defensive rebound,3,5,1,10:29,False,0,{'id': '13'},[{'athlete': {'id': '4066457'}}],2025-02-28T03:42:54Z,False,"{'x': 10, 'y': 20}",629.0
40170541517,17,"{'id': '121', 'text': 'Fade Away Jump Shot'}",Luka Doncic makes 11-foot two point shot,3,7,1,10:18,True,2,{'id': '13'},[{'athlete': {'id': '3945274'}}],2025-02-28T03:43:05Z,True,"{'x': 30, 'y': 11}",618.0
40170541518,18,"{'id': '131', 'text': 'Pullup Jump Shot'}",Mike Conley misses 26-foot three point pullup jump shot,3,7,1,9:57,False,0,{'id': '16'},[{'athlete': {'id': '3195'}}],2025-02-28T03:43:27Z,True,"{'x': 17, 'y': 26}",597.0
40170541519,19,"{'id': '155', 'text': 'Defensive Rebound'}",Jaxson Hayes defensive rebound,3,7,1,9:54,False,0,{'id': '13'},[{'athlete': {'id': '4397077'}}],2025-02-28T03:43:30Z,False,"{'x': 17, 'y': 26}",594.0
40170541520,20,"{'id': '109', 'text': 'Running Layup Shot'}",LeBron James makes two point shot (Luka Doncic assists),3,9,1,9:52,True,2,{'id': '13'},"[{'athlete': {'id': '1966'}}, {'athlete': {'id': '3945274'}}]",2025-02-28T03:43:32Z,True,"{'x': 26, 'y': 3}",592.0
40170541522,22,"{'id': '131', 'text': 'Pullup Jump Shot'}",Anthony Edwards misses 24-foot three point pullup jump shot,3,9,1,9:39,False,0,{'id': '16'},[{'athlete': {'id': '4594268'}}],2025-02-28T03:43:44Z,True,"{'x': 12, 'y': 21}",579.0
