id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,clockSec
4018100784,4,"{'id': '615', 'text': 'Jumpball'}",Kristaps Porzingis vs. Domantas Sabonis (Dyson Daniels gains possession),0,0,1,12:00,False,0,{'id': '1'},"[{'athlete': {'id': '3102531'}}, {'athlete': {'id': '3155942'}}, {'athlete': {'id': '4869342'}}]",2025-11-13T03:10:14Z,False,"{'x': -214748340, 'y': -214748365}",0,Jump Ball,720.0
4018100787,7,"{'id': '92', 'text': 'Jump Shot'}",Kristaps Porzingis makes 26-foot three point jumper (Jalen Johnson assists),3,0,1,11:41,True,3,{'id': '1'},"[{'athlete': {'id': '3102531'}}, {'athlete': {'id': '4701230'}}]",2025-11-13T03:10:29Z,True,"{'x': 38, 'y': 23}",3,+3 Points,701.0
4018100789,9,"{'id': '92', 'text': 'Jump Shot'}",Domantas Sabonis makes 7-foot jumper (DeMar DeRozan assists),3,2,1,11:20,True,2,{'id': '23'},"[{'athlete': {'id': '3155942'}}, {'athlete': {'id': '3978'}}]",2025-11-13T03:10:49Z,True,"{'x': 24, 'y': 7}",2,+2 Points,680.0
40181007811,11,"{'id': '92', 'text': 'Jump Shot'}",Kristaps Porzingis misses 26-foot three point jumper,3,2,1,11:07,False,0,{'id': '1'},[{'athlete': {'id': '3102531'}}],2025-11-13T03:11:02Z,True,"{'x': 8, 'y': 21}",3,Missed 3PT,667.0
40181007812,12,"{'id': '155', 'text': 'Defensive Rebound'}",DeMar DeRozan defensive rebound,3,2,1,11:07,False,0,{'id': '23'},[{'athlete': {'id': '3978'}}],2025-11-13T03:11:02Z,False,"{'x': 8, 'y': 21}",0,Rebound,667.0
40181007813,13,"{'id': '62', 'text': 'Bad Pass\nTurnover'}",Domantas Sabonis bad pass (Jalen Johnson steals),3,2,1,10:58,False,0,{'id': '23'},"[{'athlete': {'id': '3155942'}}, {'athlete': {'id': '4701230'}}]",2025-11-13T03:11:12Z,False,"{'x': 25, 'y': 4}",0,Turnover,658.0
40181007815,15,"{'id': '109', 'text': 'Running Layup Shot'}",Jalen Johnson makes two point shot,5,2,1,10:52,True,2,{'id': '1'},[{'athlete': {'id': '4701230'}}],2025-11-13T03:11:17Z,True,"{'x': 24, 'y': 4}",2,+2 Points,652.0
40181007816,16,"{'id': '92', 'text': 'Jump Shot'}",Domantas Sabonis misses 26-foot three point jumper,5,2,1,10:44,False,0,{'id': '23'},[{'athlete': {'id': '3155942'}}],2025-11-13T03:11:29Z,True,"{'x': 11, 'y': 22}",3,Missed 3PT,644.0
40181007817,17,"{'id': '155', 'text': 'Defensive Rebound'}",Jalen Johnson defensive rebound,5,2,1,10:40,False,0,{'id': '1'},[{'athlete': {'id': '4701230'}}],2025-11-13T03:11:33Z,False,"{'x': 11, 'y': 22}",0,Rebound,640.0
40181007818,18,"{'id': '92', 'text': 'Jump Shot'}",Dyson Daniels misses 26-foot three point jumper,5,2,1,10:23,False,0,{'id': '1'},[{'athlete': {'id': '4869342'}}],2025-11-13T03:11:48Z,True,"{'x': 49, 'y': 10}",3,Missed 3PT,623.0
40181007819,19,"{'id': '156', 'text': 'Offensive Rebound'}",Hawks offensive team rebound,5,2,1,10:22,False,0,{'id': '1'},,2025-11-13T03:11:49Z,False,"{'x': 49, 'y': 10}",0,Rebound,622.0
40181007820,20,"{'id': '92', 'text': 'Jump Shot'}",Nickeil Alexander-Walker misses 23-foot three point jumper,5,2,1,10:20,False,0,{'id': '1'},[{'athlete': {'id': '4278039'}}],2025-11-13T03:12:09Z,True,"{'x': 48, 'y': 6}",3,Missed 3PT,620.0
40181007821,21,"{'id': '155', 'text': 'Defensive Rebound'}",Russell Westbrook defensive rebound,5,2,1,10:17,False,0,{'id': '23'},[{'athlete': {'id': '3468'}}],2025-11-13T03:12:12Z,False,"{'x': 48, 'y': 6}",0,Rebound,617.0
40181007822,22,"{'id': '110', 'text': 'Driving Layup Shot'}",Zaccharie Risacher blocks Russell Westbrook 's 4-foot driving layup,5,2,1,10:11,False,0,{'id': '23'},"[{'athlete': {'id': '3468'}}, {'athlete': {'id': '5211175'}}]",2025-11-13T03:12:19Z,True,"{'x': 24, 'y': 3}",2,Missed FG,611.0
40181007824,24,"{'id': '155', 'text': 'Defensive Rebound'}",Nickeil Alexander-Walker defensive rebound,5,2,1,10:08,False,0,{'id': '1'},[{'athlete': {'id': '4278039'}}],2025-11-13T03:12:22Z,False,"{'x': 24, 'y': 3}",0,Rebound,608.0
40181007825,25,"{'id': '113', 'text': 'Running Jump Shot'}",Zaccharie Risacher misses 24-foot three point shot,5,2,1,10:02,False,0,{'id': '1'},[{'athlete': {'id': '5211175'}}],2025-11-13T03:12:27Z,True,"{'x': 49, 'y': 8}",3,Missed 3PT,602.0
40181007826,26,"{'id': '155', 'text': 'Defensive Rebound'}",Dennis Schroder defensive rebound,5,2,1,10:00,False,0,{'id': '23'},[{'athlete': {'id': '3032979'}}],2025-11-13T03:12:29Z,False,"{'x': 49, 'y': 8}",0,Rebound,600.0
