id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,clockSec
4018731984,4,"{'id': '615', 'text': 'Jumpball'}",Victor Wembanyama vs. Chet Holmgren (Devin Vassell gains possession),0,0,1,12:00,False,0,{'id': '24'},"[{'athlete': {'id': '5104157'}}, {'athlete': {'id': '4433255'}}, {'athlete': {'id': '4395630'}}]",2026-05-21T00:36:59Z,False,"{'x': -214748340, 'y': -214748365}",0,Jump Ball,720.0
4018731987,7,"{'id': '92', 'text': 'Jump Shot'}",Devin Vassell misses 27-foot three point jumper,0,0,1,11:43,False,0,{'id': '24'},[{'athlete': {'id': '4395630'}}],2026-05-21T00:37:12Z,True,"{'x': 36, 'y': 25}",3,Missed 3PT,703.0
4018731988,8,"{'id': '155', 'text': 'Defensive Rebound'}",Isaiah Hartenstein defensive rebound,0,0,1,11:40,False,0,{'id': '25'},[{'athlete': {'id': '4222252'}}],2026-05-21T00:37:15Z,False,"{'x': 36, 'y': 25}",0,Rebound,700.0
4018731989,9,"{'id': '131', 'text': 'Pullup Jump Shot'}",Luguentz Dort makes 12-foot pullup jump shot (Shai Gilgeous-Alexander assists),0,2,1,11:29,True,2,{'id': '25'},"[{'athlete': {'id': '4397020'}}, {'athlete': {'id': '4278073'}}]",2026-05-21T00:37:26Z,True,"{'x': 31, 'y': 11}",2,+2 Points,689.0
40187319811,11,"{'id': '45', 'text': 'Personal Foul'}",Isaiah Hartenstein personal foul,0,2,1,11:13,False,0,{'id': '25'},[{'athlete': {'id': '4222252'}}],2026-05-21T00:37:51Z,False,"{'x': 37, 'y': 22}",0,Foul,673.0
40187319813,13,"{'id': '92', 'text': 'Jump Shot'}",Devin Vassell misses 24-foot three point jumper,0,2,1,11:05,False,0,{'id': '24'},[{'athlete': {'id': '4395630'}}],2026-05-21T00:38:10Z,True,"{'x': 2, 'y': 10}",3,Missed 3PT,665.0
40187319814,14,"{'id': '155', 'text': 'Defensive Rebound'}",Jalen Williams defensive rebound,0,2,1,11:03,False,0,{'id': '25'},[{'athlete': {'id': '4593803'}}],2026-05-21T00:38:12Z,False,"{'x': 2, 'y': 10}",0,Rebound,663.0
40187319815,15,"{'id': '44', 'text': 'Shooting Foul'}",Dylan Harper shooting foul,0,2,1,10:52,False,0,{'id': '24'},[{'athlete': {'id': '5037871'}}],2026-05-21T00:38:26Z,False,"{'x': 29, 'y': 10}",0,Foul,652.0
40187319817,17,"{'id': '98', 'text': 'Free Throw - 1 of 2'}",Luguentz Dort misses free throw 1 of 2,0,2,1,10:52,False,0,{'id': '25'},[{'athlete': {'id': '4397020'}}],2026-05-21T00:38:55Z,True,"{'x': -214748340, 'y': -214748365}",1,Missed FT,652.0
40187319818,18,"{'id': '156', 'text': 'Offensive Rebound'}",Thunder offensive team rebound,0,2,1,10:52,False,0,{'id': '25'},,2026-05-21T00:38:55Z,False,"{'x': -214748340, 'y': -214748365}",0,Rebound,652.0
40187319819,19,"{'id': '99', 'text': 'Free Throw - 2 of 2'}",Luguentz Dort makes free throw 2 of 2,0,3,1,10:52,True,1,{'id': '25'},[{'athlete': {'id': '4397020'}}],2026-05-21T00:39:18Z,True,"{'x': -214748340, 'y': -214748365}",1,+1 Point,652.0
40187319820,20,"{'id': '44', 'text': 'Shooting Foul'}",Luguentz Dort shooting foul,0,3,1,10:42,False,0,{'id': '25'},[{'athlete': {'id': '4397020'}}],2026-05-21T00:39:34Z,False,"{'x': 24, 'y': 4}",0,Foul,642.0
40187319822,22,"{'id': '98', 'text': 'Free Throw - 1 of 2'}",Julian Champagnie makes free throw 1 of 2,1,3,1,10:42,True,1,{'id': '24'},[{'athlete': {'id': '4592479'}}],2026-05-21T00:40:01Z,True,"{'x': -214748340, 'y': -214748365}",1,+1 Point,642.0
40187319823,23,"{'id': '99', 'text': 'Free Throw - 2 of 2'}",Julian Champagnie makes free throw 2 of 2,2,3,1,10:42,True,1,{'id': '24'},[{'athlete': {'id': '4592479'}}],2026-05-21T00:40:16Z,True,"{'x': -214748340, 'y': -214748365}",1,+1 Point,642.0
40187319824,24,"{'id': '132', 'text': 'Step Back Jump Shot'}",Shai Gilgeous-Alexander makes 17-foot step back jumpshot,2,5,1,10:21,True,2,{'id': '25'},[{'athlete': {'id': '4278073'}}],2026-05-21T00:40:40Z,True,"{'x': 43, 'y': 1}",2,+2 Points,621.0
40187319826,26,"{'id': '131', 'text': 'Pullup Jump Shot'}",Devin Vassell makes 23-foot three pointer (Dylan Harper assists),5,5,1,10:12,True,3,{'id': '24'},"[{'athlete': {'id': '4395630'}}, {'athlete': {'id': '5037871'}}]",2026-05-21T00:40:48Z,True,"{'x': 48, 'y': -3}",3,+3 Points,612.0
40187319828,28,"{'id': '131', 'text': 'Pullup Jump Shot'}",Jalen Williams makes 14-foot pullup jump shot,5,7,1,9:57,True,2,{'id': '25'},[{'athlete': {'id': '4593803'}}],2026-05-21T00:41:03Z,True,"{'x': 35, 'y': 11}",2,+2 Points,597.0
40187319829,29,"{'id': '92', 'text': 'Jump Shot'}",Victor Wembanyama makes 26-foot three point jumper (Dylan Harper assists),8,7,1,9:46,True,3,{'id': '24'},"[{'athlete': {'id': '5104157'}}, {'athlete': {'id': '5037871'}}]",2026-05-21T00:41:14Z,True,"{'x': 38, 'y': 23}",3,+3 Points,586.0
40187319832,32,"{'id': '132', 'text': 'Step Back Jump Shot'}",Shai Gilgeous-Alexander makes 10-foot step back jumpshot,8,9,1,9:22,True,2,{'id': '25'},[{'athlete': {'id': '4278073'}}],2026-05-21T00:41:53Z,True,"{'x': 14, 'y': 1}",2,+2 Points,562.0
40187319833,33,"{'id': '110', 'text': 'Driving Layup Shot'}",Dylan Harper makes driving layup,10,9,1,9:09,True,2,{'id': '24'},[{'athlete': {'id': '5037871'}}],2026-05-21T00:42:06Z,True,"{'x': 24, 'y': 3}",2,+2 Points,549.0
40187319834,34,"{'id': '42', 'text': 'Offensive Foul'}",Isaiah Hartenstein offensive foul,10,9,1,8:59,False,0,{'id': '25'},[{'athlete': {'id': '4222252'}}],2026-05-21T00:42:19Z,False,"{'x': 22, 'y': 5}",0,Foul,539.0
40187319836,36,"{'id': '16', 'text': 'Full Timeout'}",Spurs Full timeout,10,9,1,8:59,False,0,{'id': '24'},,2026-05-21T00:42:46Z,False,"{'x': -214748340, 'y': -214748365}",0,Timeout,539.0
40187319837,37,"{'id': '215', 'text': ""Coach's Challenge (Overturned)""}",(08:59) [Spurs] COACH'S CHALLENGE (CALL OVERTURNED) [Spurs] retain their timeout,10,9,1,8:59,False,0,{'id': '24'},,2026-05-21T00:42:47Z,False,"{'x': -214748340, 'y': -214748365}",0,Challenge,539.0
40187319838,38,"{'id': '84', 'text': 'Offensive Foul Turnover'}",Isaiah Hartenstein offensive foul turnover,10,9,1,8:59,False,0,{'id': '25'},[{'athlete': {'id': '4222252'}}],2026-05-21T00:42:19Z,False,"{'x': 22, 'y': 5}",0,Turnover,539.0
40187319839,39,"{'id': '131', 'text': 'Pullup Jump Shot'}",Devin Vassell misses 11-foot pullup jump shot,10,9,1,8:36,False,0,{'id': '24'},[{'athlete': {'id': '4395630'}}],2026-05-21T00:46:53Z,True,"{'x': 36, 'y': -1}",2,Missed FG,516.0
40187319840,40,"{'id': '155', 'text': 'Defensive Rebound'}",Isaiah Hartenstein defensive rebound,10,9,1,8:34,False,0,{'id': '25'},[{'athlete': {'id': '4222252'}}],2026-05-21T00:46:55Z,False,"{'x': 36, 'y': -1}",0,Rebound,514.0
40187319841,41,"{'id': '70', 'text': 'Shot Clock Turnover'}",shot clock turnover ,10,9,1,8:12,False,0,{'id': '25'},,2026-05-21T00:47:17Z,False,"{'x': 22, 'y': 12}",0,Turnover,492.0
40187319842,42,"{'id': '92', 'text': 'Jump Shot'}",Devin Vassell misses 26-foot three point jumper,10,9,1,7:56,False,0,{'id': '24'},[{'athlete': {'id': '4395630'}}],2026-05-21T00:47:44Z,True,"{'x': 35, 'y': 25}",3,Missed 3PT,476.0
40187319843,43,"{'id': '155', 'text': 'Defensive Rebound'}",Luguentz Dort defensive rebound,10,9,1,7:53,False,0,{'id': '25'},[{'athlete': {'id': '4397020'}}],2026-05-21T00:47:47Z,False,"{'x': 35, 'y': 25}",0,Rebound,473.0
40187319844,44,"{'id': '121', 'text': 'Fade Away Jump Shot'}",Jalen Williams misses 8-foot fade away jump shot,10,9,1,7:46,False,0,{'id': '25'},[{'athlete': {'id': '4593803'}}],2026-05-21T00:47:55Z,True,"{'x': 18, 'y': 5}",2,Missed FG,466.0
40187319845,45,"{'id': '155', 'text': 'Defensive Rebound'}",Victor Wembanyama defensive rebound,10,9,1,7:43,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2026-05-21T00:47:58Z,False,"{'x': 18, 'y': 5}",0,Rebound,463.0
