id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,clockSec
4017052204,4,"{'id': '615', 'text': 'Jumpball'}",Yves Missi vs. Jakob Poeltl (RJ Barrett gains possession),0,0,1,12:00,False,0,{'id': '28'},"[{'athlete': {'id': '3134908'}}, {'athlete': {'id': '5061589'}}, {'athlete': {'id': '4395625'}}]",2025-01-28T00:42:26Z,False,"{'x': -214748340, 'y': -214748365}",720.0
4017052207,7,"{'id': '92', 'text': 'Jump Shot'}",RJ Barrett makes 25-foot three point jumper (Davion Mitchell assists),0,3,1,11:36,True,3,{'id': '28'},"[{'athlete': {'id': '4395625'}}, {'athlete': {'id': '4278053'}}]",2025-01-28T00:42:46Z,True,"{'x': 7, 'y': 18}",696.0
4017052209,9,"{'id': '44', 'text': 'Shooting Foul'}",Jakob Poeltl shooting foul,0,3,1,11:17,False,0,{'id': '28'},[{'athlete': {'id': '3134908'}}],2025-01-28T00:43:07Z,False,"{'x': 20, 'y': 3}",677.0
40170522011,11,"{'id': '98', 'text': 'Free Throw - 1 of 2'}",Zion Williamson makes free throw 1 of 2,1,3,1,11:17,True,1,{'id': '3'},[{'athlete': {'id': '4395628'}}],2025-01-28T00:43:29Z,True,"{'x': -214748340, 'y': -214748365}",677.0
40170522012,12,"{'id': '99', 'text': 'Free Throw - 2 of 2'}",Zion Williamson makes free throw 2 of 2,2,3,1,11:17,True,1,{'id': '3'},[{'athlete': {'id': '4395628'}}],2025-01-28T00:43:41Z,True,"{'x': -214748340, 'y': -214748365}",677.0
40170522013,13,"{'id': '44', 'text': 'Shooting Foul'}",Yves Missi shooting foul,2,3,1,11:01,False,0,{'id': '3'},[{'athlete': {'id': '5061589'}}],2025-01-28T00:44:03Z,False,"{'x': 26, 'y': 5}",661.0
40170522015,15,"{'id': '98', 'text': 'Free Throw - 1 of 2'}",Jakob Poeltl makes free throw 1 of 2,2,4,1,11:01,True,1,{'id': '28'},[{'athlete': {'id': '3134908'}}],2025-01-28T00:44:27Z,True,"{'x': -214748340, 'y': -214748365}",661.0
40170522016,16,"{'id': '99', 'text': 'Free Throw - 2 of 2'}",Jakob Poeltl misses free throw 2 of 2,2,4,1,11:01,False,0,{'id': '28'},[{'athlete': {'id': '3134908'}}],2025-01-28T00:44:27Z,True,"{'x': -214748340, 'y': -214748365}",661.0
40170522017,17,"{'id': '155', 'text': 'Defensive Rebound'}",Yves Missi defensive rebound,2,4,1,10:58,False,0,{'id': '3'},[{'athlete': {'id': '5061589'}}],2025-01-28T00:44:30Z,False,"{'x': -214748340, 'y': -214748365}",658.0
40170522018,18,"{'id': '44', 'text': 'Shooting Foul'}",Davion Mitchell shooting foul,2,4,1,10:45,False,0,{'id': '28'},[{'athlete': {'id': '4278053'}}],2025-01-28T00:44:58Z,False,"{'x': 22, 'y': 27}",645.0
40170522020,20,"{'id': '100', 'text': 'Free Throw - 1 of 3'}",Dejounte Murray makes free throw 1 of 3,3,4,1,10:45,True,1,{'id': '3'},[{'athlete': {'id': '3907497'}}],2025-01-28T00:45:25Z,True,"{'x': -214748340, 'y': -214748365}",645.0
40170522021,21,"{'id': '101', 'text': 'Free Throw - 2 of 3'}",Dejounte Murray makes free throw 2 of 3,4,4,1,10:45,True,1,{'id': '3'},[{'athlete': {'id': '3907497'}}],2025-01-28T00:45:39Z,True,"{'x': -214748340, 'y': -214748365}",645.0
40170522022,22,"{'id': '102', 'text': 'Free Throw - 3 of 3'}",Dejounte Murray makes free throw 3 of 3,5,4,1,10:45,True,1,{'id': '3'},[{'athlete': {'id': '3907497'}}],2025-01-28T00:45:55Z,True,"{'x': -214748340, 'y': -214748365}",645.0
40170522023,23,"{'id': '111', 'text': 'Alley Oop Layup Shot'}",Jakob Poeltl makes alley oop layup (Scottie Barnes assists),5,6,1,10:37,True,2,{'id': '28'},"[{'athlete': {'id': '3134908'}}, {'athlete': {'id': '4433134'}}]",2025-01-28T00:46:06Z,True,"{'x': 29, 'y': 0}",637.0
40170522025,25,"{'id': '132', 'text': 'Step Back Jump Shot'}",CJ McCollum misses 20-foot step back jumpshot,5,6,1,10:26,False,0,{'id': '3'},[{'athlete': {'id': '2490149'}}],2025-01-28T00:46:16Z,True,"{'x': 24, 'y': 21}",626.0
40170522026,26,"{'id': '155', 'text': 'Defensive Rebound'}",Scottie Barnes defensive rebound,5,6,1,10:22,False,0,{'id': '28'},[{'athlete': {'id': '4433134'}}],2025-01-28T00:46:20Z,False,"{'x': 24, 'y': 21}",622.0
40170522027,27,"{'id': '63', 'text': 'Lost Ball Turnover'}",Davion Mitchell lost ball turnover (Trey Murphy III steals),5,6,1,10:16,False,0,{'id': '28'},"[{'athlete': {'id': '4278053'}}, {'athlete': {'id': '4397688'}}]",2025-01-28T00:46:25Z,False,"{'x': 34, 'y': 16}",616.0
40170522029,29,"{'id': '63', 'text': 'Lost Ball Turnover'}",Trey Murphy III lost ball turnover (Scottie Barnes steals),5,6,1,10:13,False,0,{'id': '3'},"[{'athlete': {'id': '4397688'}}, {'athlete': {'id': '4433134'}}]",2025-01-28T00:46:29Z,False,"{'x': 14, 'y': 8}",613.0
40170522031,31,"{'id': '131', 'text': 'Pullup Jump Shot'}",Scottie Barnes misses 24-foot three point pullup jump shot,5,6,1,10:05,False,0,{'id': '28'},[{'athlete': {'id': '4433134'}}],2025-01-28T00:46:37Z,True,"{'x': 27, 'y': 25}",605.0
40170522032,32,"{'id': '155', 'text': 'Defensive Rebound'}",CJ McCollum defensive rebound,5,6,1,10:02,False,0,{'id': '3'},[{'athlete': {'id': '2490149'}}],2025-01-28T00:46:40Z,False,"{'x': 27, 'y': 25}",602.0
40170522033,33,"{'id': '90', 'text': 'Out of Bounds - Bad Pass Turnover'}",Dejounte Murray out of bounds bad pass turnover,5,6,1,9:56,False,0,{'id': '3'},[{'athlete': {'id': '3907497'}}],2025-01-28T00:46:48Z,False,"{'x': 18, 'y': -4}",596.0
40170522034,34,"{'id': '131', 'text': 'Pullup Jump Shot'}",Scottie Barnes misses 14-foot pullup jump shot,5,6,1,9:38,False,0,{'id': '28'},[{'athlete': {'id': '4433134'}}],2025-01-28T00:47:13Z,True,"{'x': 40, 'y': 1}",578.0
