id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,team,participants,clockSec
401810187579,579,"{'id': '155', 'text': 'Defensive Rebound'}",Cooper Flagg defensive rebound,92,100,4,8:16,False,0,2025-12-04T03:27:47Z,False,"{'x': 25, 'y': 11}",0,Rebound,{'id': '6'},[{'athlete': {'id': '5041939'}}],496.0
401810187580,580,"{'id': '110', 'text': 'Driving Layup Shot'}",Cooper Flagg makes driving layup (Anthony Davis assists),92,102,4,8:07,True,2,2025-12-04T03:27:56Z,True,"{'x': 27, 'y': 5}",2,+2 Points,{'id': '6'},"[{'athlete': {'id': '5041939'}}, {'athlete': {'id': '6583'}}]",487.0
401810187581,581,"{'id': '44', 'text': 'Shooting Foul'}",Kel'el Ware shooting foul,92,102,4,8:07,False,0,2025-12-04T03:27:59Z,False,"{'x': 23, 'y': 19}",0,Foul,{'id': '14'},[{'athlete': {'id': '5105623'}}],487.0
401810187583,583,"{'id': '584', 'text': 'Substitution'}",Andrew Wiggins enters the game for Tyler Herro,92,102,4,8:07,False,0,2025-12-04T03:28:17Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,{'id': '14'},"[{'athlete': {'id': '3059319'}}, {'athlete': {'id': '4395725'}}]",487.0
401810187586,586,"{'id': '97', 'text': 'Free Throw - 1 of 1'}",Cooper Flagg misses free throw 1 of 1,92,102,4,8:07,False,0,2025-12-04T03:28:35Z,True,"{'x': -214748340, 'y': -214748365}",1,Missed FT,{'id': '6'},[{'athlete': {'id': '5041939'}}],487.0
401810187587,587,"{'id': '155', 'text': 'Defensive Rebound'}",Kel'el Ware defensive rebound,92,102,4,8:05,False,0,2025-12-04T03:28:37Z,False,"{'x': -214748340, 'y': -214748365}",0,Rebound,{'id': '14'},[{'athlete': {'id': '5105623'}}],485.0
401810187588,588,"{'id': '45', 'text': 'Personal Foul'}",Naji Marshall personal foul,92,102,4,7:59,False,0,2025-12-04T03:28:44Z,False,"{'x': 23, 'y': 19}",0,Foul,{'id': '6'},[{'athlete': {'id': '4278594'}}],479.0
401810187590,590,"{'id': '584', 'text': 'Substitution'}",Dwight Powell enters the game for Anthony Davis,92,102,4,7:59,False,0,2025-12-04T03:28:50Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,{'id': '6'},"[{'athlete': {'id': '2531367'}}, {'athlete': {'id': '6583'}}]",479.0
401810187592,592,"{'id': '144', 'text': 'Driving Floating Jump Shot'}",Jaime Jaquez Jr. makes 2-foot driving floating jump shot,94,102,4,7:46,True,2,2025-12-04T03:29:20Z,True,"{'x': 25, 'y': 3}",2,+2 Points,{'id': '14'},[{'athlete': {'id': '4432848'}}],466.0
401810187593,593,"{'id': '130', 'text': 'Floating Jump Shot'}",Naji Marshall makes 8-foot two point shot (Ryan Nembhard assists),94,104,4,7:27,True,2,2025-12-04T03:29:38Z,True,"{'x': 27, 'y': 9}",2,+2 Points,{'id': '6'},"[{'athlete': {'id': '4278594'}}, {'athlete': {'id': '4433629'}}]",447.0
401810187595,595,"{'id': '9', 'text': 'Defensive Goaltending'}",Kel'el Ware defensive goaltending violation,94,104,4,7:27,False,0,2025-12-04T03:29:43Z,False,"{'x': -214748340, 'y': -214748365}",0,Goaltending,{'id': '14'},[{'athlete': {'id': '5105623'}}],447.0
401810187596,596,"{'id': '62', 'text': 'Bad Pass\nTurnover'}",Kel'el Ware bad pass (Cooper Flagg steals),94,104,4,7:04,False,0,2025-12-04T03:30:15Z,False,"{'x': 12, 'y': 6}",0,Turnover,{'id': '14'},"[{'athlete': {'id': '5105623'}}, {'athlete': {'id': '5041939'}}]",424.0
401810187598,598,"{'id': '109', 'text': 'Running Layup Shot'}",Andrew Wiggins blocks Ryan Nembhard 's 2-foot two point shot,94,104,4,7:00,False,0,2025-12-04T03:30:19Z,True,"{'x': 24, 'y': 2}",2,Missed FG,{'id': '6'},"[{'athlete': {'id': '4433629'}}, {'athlete': {'id': '3059319'}}]",420.0
401810187600,600,"{'id': '155', 'text': 'Defensive Rebound'}",Simone Fontecchio defensive rebound,94,104,4,6:58,False,0,2025-12-04T03:30:21Z,False,"{'x': 24, 'y': 2}",0,Rebound,{'id': '14'},[{'athlete': {'id': '3899664'}}],418.0
401810187601,601,"{'id': '92', 'text': 'Jump Shot'}",Simone Fontecchio misses 25-foot three point jumper,94,104,4,6:49,False,0,2025-12-04T03:30:30Z,True,"{'x': 6, 'y': 16}",3,Missed 3PT,{'id': '14'},[{'athlete': {'id': '3899664'}}],409.0
401810187602,602,"{'id': '156', 'text': 'Offensive Rebound'}",Dru Smith offensive rebound,94,104,4,6:46,False,0,2025-12-04T03:30:33Z,False,"{'x': 6, 'y': 16}",0,Rebound,{'id': '14'},[{'athlete': {'id': '4066993'}}],406.0
401810187603,603,"{'id': '131', 'text': 'Pullup Jump Shot'}",Dru Smith makes 26-foot three pointer,97,104,4,6:44,True,3,2025-12-04T03:30:35Z,True,"{'x': 4, 'y': 16}",3,+3 Points,{'id': '14'},[{'athlete': {'id': '4066993'}}],404.0
401810187604,604,"{'id': '92', 'text': 'Jump Shot'}",Naji Marshall makes 22-foot three point jumper (Max Christie assists),97,107,4,6:16,True,3,2025-12-04T03:31:03Z,True,"{'x': 48, 'y': 4}",3,+3 Points,{'id': '6'},"[{'athlete': {'id': '4278594'}}, {'athlete': {'id': '4432582'}}]",376.0
401810187606,606,"{'id': '92', 'text': 'Jump Shot'}",Kel'el Ware makes 28-foot three point jumper (Jaime Jaquez Jr. assists),100,107,4,6:05,True,3,2025-12-04T03:31:15Z,True,"{'x': 13, 'y': 26}",3,+3 Points,{'id': '14'},"[{'athlete': {'id': '5105623'}}, {'athlete': {'id': '4432848'}}]",365.0
