id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,wallclock,shootingPlay,coordinate,team,participants,clockSec
401705041405,405,"{'id': '92', 'text': 'Jump Shot'}",Michael Porter Jr. makes 23-foot three point jumper (Nikola Jokic assists),72,76,3,6:06,True,3,2025-01-04T03:30:04Z,True,"{'x': 2, 'y': 5}",{'id': '7'},"[{'athlete': {'id': '4278104'}}, {'athlete': {'id': '3112335'}}]",366.0
401705041407,407,"{'id': '92', 'text': 'Jump Shot'}",Stephon Castle makes 24-foot three point jumper (Chris Paul assists),75,76,3,5:52,True,3,2025-01-04T03:30:20Z,True,"{'x': 1, 'y': 5}",{'id': '24'},"[{'athlete': {'id': '4845367'}}, {'athlete': {'id': '2779'}}]",352.0
401705041409,409,"{'id': '141', 'text': 'Cutting Layup Shot'}",Nikola Jokic makes 1-foot layup (Russell Westbrook assists),75,78,3,5:43,True,2,2025-01-04T03:30:29Z,True,"{'x': 24, 'y': 1}",{'id': '7'},"[{'athlete': {'id': '3112335'}}, {'athlete': {'id': '3468'}}]",343.0
401705041411,411,"{'id': '131', 'text': 'Pullup Jump Shot'}",Chris Paul misses 25-foot three point pullup jump shot,75,78,3,5:32,False,0,2025-01-04T03:30:44Z,True,"{'x': 10, 'y': 21}",{'id': '24'},[{'athlete': {'id': '2779'}}],332.0
401705041412,412,"{'id': '156', 'text': 'Offensive Rebound'}",Victor Wembanyama offensive rebound,75,78,3,5:29,False,0,2025-01-04T03:30:47Z,False,"{'x': 10, 'y': 21}",{'id': '24'},[{'athlete': {'id': '5104157'}}],329.0
401705041413,413,"{'id': '94', 'text': 'Tip Shot'}",Victor Wembanyama makes tip shot,77,78,3,5:29,True,2,2025-01-04T03:30:47Z,True,"{'x': 25, 'y': 0}",{'id': '24'},[{'athlete': {'id': '5104157'}}],329.0
401705041414,414,"{'id': '112', 'text': 'Reverse Layup Shot'}",Nikola Jokic misses 3-foot two point shot,77,78,3,5:17,False,0,2025-01-04T03:30:54Z,True,"{'x': 22, 'y': 3}",{'id': '7'},[{'athlete': {'id': '3112335'}}],317.0
401705041415,415,"{'id': '156', 'text': 'Offensive Rebound'}",Jamal Murray offensive rebound,77,78,3,5:15,False,0,2025-01-04T03:30:56Z,False,"{'x': 22, 'y': 3}",{'id': '7'},[{'athlete': {'id': '3936299'}}],315.0
401705041416,416,"{'id': '45', 'text': 'Personal Foul'}",Victor Wembanyama personal foul,77,78,3,5:15,False,0,2025-01-04T03:30:58Z,False,"{'x': 23, 'y': 1}",{'id': '24'},[{'athlete': {'id': '5104157'}}],315.0
401705041418,418,"{'id': '584', 'text': 'Substitution'}",Julian Strawther enters the game for Jamal Murray,77,78,3,5:15,False,0,2025-01-04T03:31:11Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '7'},"[{'athlete': {'id': '4432181'}}, {'athlete': {'id': '3936299'}}]",315.0
