id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,clockSec
4017697474,4,"{'id': '615', 'text': 'Jumpball'}",Karl-Anthony Towns vs. Al Horford (Jalen Brunson gains possession),0,0,1,12:00,False,0,{'id': '18'},"[{'athlete': {'id': '3136195'}}, {'athlete': {'id': '3213'}}, {'athlete': {'id': '3934672'}}]",2025-05-07T23:06:42Z,False,"{'x': -214748340, 'y': -214748365}",720.0
40176974748,48,"{'id': '70', 'text': 'Shot Clock Turnover'}",shot clock turnover,0,0,1,11:32,False,0,{'id': '18'},,2025-05-07T23:06:54Z,False,"{'x': 22, 'y': 19}",692.0
4017697478,8,"{'id': '126', 'text': 'Layup Driving Reverse'}",Jrue Holiday makes two point shot,0,2,1,11:14,True,2,{'id': '2'},[{'athlete': {'id': '3995'}}],2025-05-07T23:07:23Z,True,"{'x': 24, 'y': 1}",674.0
4017697479,9,"{'id': '126', 'text': 'Layup Driving Reverse'}",Mikal Bridges misses two point shot,0,2,1,10:52,False,0,{'id': '18'},[{'athlete': {'id': '3147657'}}],2025-05-07T23:07:46Z,True,"{'x': 27, 'y': 2}",652.0
40176974710,10,"{'id': '155', 'text': 'Defensive Rebound'}",Jayson Tatum defensive rebound,0,2,1,10:51,False,0,{'id': '2'},[{'athlete': {'id': '4065648'}}],2025-05-07T23:07:47Z,False,"{'x': 27, 'y': 2}",651.0
40176974711,11,"{'id': '144', 'text': 'Driving Floating Jump Shot'}",Jaylen Brown misses driving floating jump shot,0,2,1,10:35,False,0,{'id': '2'},[{'athlete': {'id': '3917376'}}],2025-05-07T23:08:02Z,True,"{'x': 29, 'y': 3}",635.0
40176974712,12,"{'id': '156', 'text': 'Offensive Rebound'}",Jaylen Brown offensive rebound,0,2,1,10:34,False,0,{'id': '2'},[{'athlete': {'id': '3917376'}}],2025-05-07T23:08:03Z,False,"{'x': 29, 'y': 3}",634.0
40176974713,13,"{'id': '94', 'text': 'Tip Shot'}",Jaylen Brown misses tip shot,0,2,1,10:34,False,0,{'id': '2'},[{'athlete': {'id': '3917376'}}],2025-05-07T23:08:05Z,True,"{'x': 25, 'y': 0}",634.0
40176974714,14,"{'id': '156', 'text': 'Offensive Rebound'}",Jaylen Brown offensive rebound,0,2,1,10:33,False,0,{'id': '2'},[{'athlete': {'id': '3917376'}}],2025-05-07T23:08:06Z,False,"{'x': 25, 'y': 0}",633.0
40176974715,15,"{'id': '132', 'text': 'Step Back Jump Shot'}",Jrue Holiday misses 25-foot three point step back jumpshot,0,2,1,10:31,False,0,{'id': '2'},[{'athlete': {'id': '3995'}}],2025-05-07T23:08:08Z,True,"{'x': 12, 'y': 22}",631.0
40176974716,16,"{'id': '156', 'text': 'Offensive Rebound'}",Derrick White offensive rebound,0,2,1,10:27,False,0,{'id': '2'},[{'athlete': {'id': '3078576'}}],2025-05-07T23:08:12Z,False,"{'x': 12, 'y': 22}",627.0
40176974717,17,"{'id': '92', 'text': 'Jump Shot'}",Al Horford misses 25-foot three point jumper,0,2,1,10:25,False,0,{'id': '2'},[{'athlete': {'id': '3213'}}],2025-05-07T23:08:13Z,True,"{'x': 41, 'y': 21}",625.0
40176974718,18,"{'id': '155', 'text': 'Defensive Rebound'}",Mikal Bridges defensive rebound,0,2,1,10:21,False,0,{'id': '18'},[{'athlete': {'id': '3147657'}}],2025-05-07T23:08:17Z,False,"{'x': 41, 'y': 21}",621.0
40176974719,19,"{'id': '87', 'text': 'Out of Bounds - Lost Ball Turnover'}",Mikal Bridges out of bounds lost ball turnover,0,2,1,10:19,False,0,{'id': '18'},[{'athlete': {'id': '3147657'}}],2025-05-07T23:08:21Z,False,"{'x': 17, 'y': 0}",619.0
40176974720,20,"{'id': '92', 'text': 'Jump Shot'}",Jaylen Brown misses 24-foot three point jumper,0,2,1,10:07,False,0,{'id': '2'},[{'athlete': {'id': '3917376'}}],2025-05-07T23:08:37Z,True,"{'x': 46, 'y': 14}",607.0
40176974721,21,"{'id': '155', 'text': 'Defensive Rebound'}",Karl-Anthony Towns defensive rebound,0,2,1,10:04,False,0,{'id': '18'},[{'athlete': {'id': '3136195'}}],2025-05-07T23:08:40Z,False,"{'x': 46, 'y': 14}",604.0
40176974722,22,"{'id': '137', 'text': 'Turnaround Fade Away Jump Shot'}",Jalen Brunson misses 19-foot two point shot,0,2,1,9:55,False,0,{'id': '18'},[{'athlete': {'id': '3934672'}}],2025-05-07T23:08:49Z,True,"{'x': 31, 'y': 19}",595.0
40176974723,23,"{'id': '155', 'text': 'Defensive Rebound'}",Jayson Tatum defensive rebound,0,2,1,9:52,False,0,{'id': '2'},[{'athlete': {'id': '4065648'}}],2025-05-07T23:08:52Z,False,"{'x': 31, 'y': 19}",592.0
40176974724,24,"{'id': '109', 'text': 'Running Layup Shot'}",Derrick White misses two point shot,0,2,1,9:48,False,0,{'id': '2'},[{'athlete': {'id': '3078576'}}],2025-05-07T23:08:57Z,True,"{'x': 29, 'y': 1}",588.0
40176974725,25,"{'id': '155', 'text': 'Defensive Rebound'}",Karl-Anthony Towns defensive rebound,0,2,1,9:47,False,0,{'id': '18'},[{'athlete': {'id': '3136195'}}],2025-05-07T23:08:58Z,False,"{'x': 29, 'y': 1}",587.0
40176974726,26,"{'id': '121', 'text': 'Fade Away Jump Shot'}",Mikal Bridges misses 19-foot two point shot,0,2,1,9:36,False,0,{'id': '18'},[{'athlete': {'id': '3147657'}}],2025-05-07T23:09:08Z,True,"{'x': 15, 'y': 17}",576.0
40176974727,27,"{'id': '155', 'text': 'Defensive Rebound'}",Jayson Tatum defensive rebound,0,2,1,9:35,False,0,{'id': '2'},[{'athlete': {'id': '4065648'}}],2025-05-07T23:09:09Z,False,"{'x': 15, 'y': 17}",575.0
