game_id,game_date,home_team,away_team,location,date,hour,game_string,away_score,home_score
401705424,01/03/2025,Utah Jazz,Minnesota Timberwolves,Delta Center,01/03/2025,02:30 UTC,"Minnesota Timberwolves vs Utah Jazz @ Delta Center, 2025-03-01 02:30 UTC",116.0,117.0
401705425,01/03/2025,Los Angeles Lakers,LA Clippers,crypto.com Arena,01/03/2025,03:00 UTC,"LA Clippers vs Los Angeles Lakers @ crypto.com Arena, 2025-03-01 03:00 UTC",102.0,106.0
401705426,01/03/2025,Charlotte Hornets,Washington Wizards,Spectrum Center,01/03/2025,23:00 UTC,"Washington Wizards vs Charlotte Hornets @ Spectrum Center, 2025-03-01 23:00 UTC",113.0,100.0
401705427,02/03/2025,Detroit Pistons,Brooklyn Nets,Little Caesars Arena,02/03/2025,00:00 UTC,"Brooklyn Nets vs Detroit Pistons @ Little Caesars Arena, 2025-03-02 00:00 UTC",94.0,115.0
401705428,02/03/2025,Houston Rockets,Sacramento Kings,Toyota Center (Houston),02/03/2025,01:00 UTC,"Sacramento Kings vs Houston Rockets @ Toyota Center (Houston), 2025-03-02 01:00 UTC",113.0,103.0
401705429,02/03/2025,Memphis Grizzlies,San Antonio Spurs,FedExForum,02/03/2025,01:00 UTC,"San Antonio Spurs vs Memphis Grizzlies @ FedExForum, 2025-03-02 01:00 UTC",130.0,128.0
401705430,02/03/2025,Philadelphia 76ers,Golden State Warriors,Wells Fargo Center,02/03/2025,01:30 UTC,"Golden State Warriors vs Philadelphia 76ers @ Wells Fargo Center, 2025-03-02 01:30 UTC",119.0,126.0
401705431,02/03/2025,Dallas Mavericks,Milwaukee Bucks,American Airlines Center,02/03/2025,01:30 UTC,"Milwaukee Bucks vs Dallas Mavericks @ American Airlines Center, 2025-03-02 01:30 UTC",132.0,117.0
401705432,02/03/2025,Boston Celtics,Denver Nuggets,TD Garden,02/03/2025,18:00 UTC,"Denver Nuggets vs Boston Celtics @ TD Garden, 2025-03-02 18:00 UTC",103.0,110.0
401705433,02/03/2025,Cleveland Cavaliers,Portland Trail Blazers,Rocket Arena,02/03/2025,20:30 UTC,"Portland Trail Blazers vs Cleveland Cavaliers @ Rocket Arena, 2025-03-02 20:30 UTC",129.0,133.0
401705434,02/03/2025,Indiana Pacers,Chicago Bulls,Gainbridge Fieldhouse,02/03/2025,22:00 UTC,"Chicago Bulls vs Indiana Pacers @ Gainbridge Fieldhouse, 2025-03-02 22:00 UTC",112.0,127.0
401705435,02/03/2025,Miami Heat,New York Knicks,Kaseya Center,02/03/2025,23:00 UTC,"New York Knicks vs Miami Heat @ Kaseya Center, 2025-03-02 23:00 UTC",116.0,112.0
401705436,02/03/2025,Orlando Magic,Toronto Raptors,Kia Center,02/03/2025,23:00 UTC,"Toronto Raptors vs Orlando Magic @ Kia Center, 2025-03-02 23:00 UTC",104.0,102.0
401705437,03/03/2025,San Antonio Spurs,Oklahoma City Thunder,Frost Bank Center,03/03/2025,00:00 UTC,"Oklahoma City Thunder vs San Antonio Spurs @ Frost Bank Center, 2025-03-03 00:00 UTC",146.0,132.0
401705438,03/03/2025,Utah Jazz,New Orleans Pelicans,Delta Center,03/03/2025,01:00 UTC,"New Orleans Pelicans vs Utah Jazz @ Delta Center, 2025-03-03 01:00 UTC",128.0,121.0
401705439,03/03/2025,Phoenix Suns,Minnesota Timberwolves,PHX Arena,03/03/2025,02:30 UTC,"Minnesota Timberwolves vs Phoenix Suns @ PHX Arena, 2025-03-03 02:30 UTC",116.0,98.0
401705440,03/03/2025,Los Angeles Lakers,LA Clippers,crypto.com Arena,03/03/2025,02:30 UTC,"LA Clippers vs Los Angeles Lakers @ crypto.com Arena, 2025-03-03 02:30 UTC",102.0,108.0
401705441,04/03/2025,Charlotte Hornets,Golden State Warriors,Spectrum Center,04/03/2025,00:00 UTC,"Golden State Warriors vs Charlotte Hornets @ Spectrum Center, 2025-03-04 00:00 UTC",119.0,101.0
401705442,04/03/2025,Philadelphia 76ers,Portland Trail Blazers,Wells Fargo Center,04/03/2025,00:00 UTC,"Portland Trail Blazers vs Philadelphia 76ers @ Wells Fargo Center, 2025-03-04 00:00 UTC",119.0,102.0
401705443,04/03/2025,Miami Heat,Washington Wizards,Kaseya Center,04/03/2025,00:30 UTC,"Washington Wizards vs Miami Heat @ Kaseya Center, 2025-03-04 00:30 UTC",90.0,106.0
401705444,04/03/2025,Memphis Grizzlies,Atlanta Hawks,FedExForum,04/03/2025,01:00 UTC,"Atlanta Hawks vs Memphis Grizzlies @ FedExForum, 2025-03-04 01:00 UTC",132.0,130.0
401705445,04/03/2025,Oklahoma City Thunder,Houston Rockets,Paycom Center,04/03/2025,01:00 UTC,"Houston Rockets vs Oklahoma City Thunder @ Paycom Center, 2025-03-04 01:00 UTC",128.0,137.0
401705446,04/03/2025,Dallas Mavericks,Sacramento Kings,American Airlines Center,04/03/2025,01:30 UTC,"Sacramento Kings vs Dallas Mavericks @ American Airlines Center, 2025-03-04 01:30 UTC",122.0,98.0
401705447,04/03/2025,Utah Jazz,Detroit Pistons,Delta Center,04/03/2025,02:00 UTC,"Detroit Pistons vs Utah Jazz @ Delta Center, 2025-03-04 02:00 UTC",134.0,106.0
401705448,05/03/2025,Indiana Pacers,Houston Rockets,Gainbridge Fieldhouse,05/03/2025,00:00 UTC,"Houston Rockets vs Indiana Pacers @ Gainbridge Fieldhouse, 2025-03-05 00:00 UTC",102.0,115.0
401705449,05/03/2025,Orlando Magic,Toronto Raptors,Kia Center,05/03/2025,00:00 UTC,"Toronto Raptors vs Orlando Magic @ Kia Center, 2025-03-05 00:00 UTC",114.0,113.0
401705450,05/03/2025,Atlanta Hawks,Milwaukee Bucks,State Farm Arena,05/03/2025,00:30 UTC,"Milwaukee Bucks vs Atlanta Hawks @ State Farm Arena, 2025-03-05 00:30 UTC",127.0,121.0
401705451,05/03/2025,New York Knicks,Golden State Warriors,Madison Square Garden,05/03/2025,00:30 UTC,"Golden State Warriors vs New York Knicks @ Madison Square Garden, 2025-03-05 00:30 UTC",114.0,102.0
401705452,05/03/2025,Chicago Bulls,Cleveland Cavaliers,United Center,05/03/2025,01:00 UTC,"Cleveland Cavaliers vs Chicago Bulls @ United Center, 2025-03-05 01:00 UTC",139.0,117.0
401705453,05/03/2025,Minnesota Timberwolves,Philadelphia 76ers,Target Center,05/03/2025,01:00 UTC,"Philadelphia 76ers vs Minnesota Timberwolves @ Target Center, 2025-03-05 01:00 UTC",112.0,126.0
401705454,05/03/2025,San Antonio Spurs,Brooklyn Nets,Frost Bank Center,05/03/2025,01:30 UTC,"Brooklyn Nets vs San Antonio Spurs @ Frost Bank Center, 2025-03-05 01:30 UTC",113.0,127.0
401705455,05/03/2025,Phoenix Suns,LA Clippers,PHX Arena,05/03/2025,03:00 UTC,"LA Clippers vs Phoenix Suns @ PHX Arena, 2025-03-05 03:00 UTC",117.0,119.0
401705456,05/03/2025,Los Angeles Lakers,New Orleans Pelicans,crypto.com Arena,05/03/2025,03:30 UTC,"New Orleans Pelicans vs Los Angeles Lakers @ crypto.com Arena, 2025-03-05 03:30 UTC",115.0,136.0
