method,recall@3,recall@5,recall@10,recall@R,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@R
avg,0.251953602,0.38662087933333333,0.8157264955999999,0.375760073,0.39333333340000004,0.42294152440000005,0.44192389770579804,0.5879708544689523,0.39382338605708617
exc,0.23659645926666661,0.41601037859999995,0.6947191695333333,0.2926251523333333,0.26666666640000003,0.30735948089967235,0.37877444114643205,0.49216250406280776,0.2876042307027094
max,0.23667582420000002,0.3788278389333333,0.7623931624,0.3676648352,0.32666666680000006,0.3817868788,0.4129970904087017,0.5517766180582838,0.36711757385708615
rnd,0.19540598313333332,0.28666056193333334,0.6080128204,0.28945054953333327,0.3066666664,0.3079898241106183,0.32833700327982496,0.4477556838459994,0.29510870450401094
