method,recall@3,recall@5,recall@10,recall@R,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@R
avg,0.21992267,0.42214591,0.726210826,0.392933455,0.388888889,0.438235874,0.488358058,0.586476301,0.413384011
exc,0.238441,0.348575,0.550987,0.412047,0.444444444,0.411546,0.436123,0.495276,0.416513
max,0.194459707,0.375824176,0.703988604,0.379441392,0.277777778,0.369644798,0.422542171,0.541029576,0.368874324
rnd,0.170121083,0.255545381,0.546688034,0.326862027,0.444444444,0.372439894,0.370055857,0.469162945,0.35507045
