user_id,recall@3,recall@5,recall@10,recall@R,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@R
0,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.0,0.2960819109658652,0.34519134224686937,0.5954037667960947,0.3079834593168982
1,0.0,1.0,1.0,0.0,0.0,0.0,0.38685280723454163,0.38685280723454163,0.0
2,0.0,1.0,1.0,0.0,0.0,0.0,0.43067655807339306,0.43067655807339306,0.0
3,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,0.2960819109658652,0.2960819109658652,0.5730008572581421,0.2960819109658652
4,0.16666666666666666,0.5,1.0,0.5,0.0,0.23463936301137822,0.4468535299918563,0.6781191542888784,0.3986875657977409
5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0
6,0.5,0.5,1.0,0.5,0.0,0.38685280723454163,0.38685280723454163,0.5714285040141098,0.38685280723454163
7,1.0,1.0,1.0,0.0,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.0
8,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,0.2960819109658652,0.2960819109658652,0.5988943393645153,0.2960819109658652
10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0
11,0.42857142857142855,0.7142857142857143,0.8571428571428571,0.7142857142857143,1.0,1.0,1.0,0.8932076516505886,0.8104616303452685
mean,0.26623376623376627,0.5194805194805194,0.971861471861472,0.24675324675324672,0.09090909090909091,0.285515241519543,0.3835927836622173,0.541870307598153,0.22692266223874358
